cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
21,55.46848713840864,-0.02339647572692236,-47.227431963708284,19.0,24.0,25.0,373.93827047997115,555.6236123650016,635.1078122362326,3.203191175302575,4.759525281092189,5.440394578788612,2.492921803199808,3.704157415766677,4.234052081574884,5.754763519069822,6.5835643622323206,6.3786208222640335,1943451.5935506858,3344793.6865175418,4186429.4247454433,3.3814812617506496,4.140851252153532,4.936591508408549,120.20345430769532,109.93096740316524,97.75392148565635,234.43999849285072,216.1970576415611,216.89501802636687
22,55.47247532050213,-0.02068903480331325,-47.22514295871189,20.0,19.0,21.0,292.224599243366,375.6938507965857,749.3510853437798,2.5032240115493023,3.2182296450759313,6.419013439559582,1.9481639949557727,2.504625671977238,4.995673902291864,5.123240002811675,5.754763519069822,6.100749868151889,472982.46329862974,1943451.5935506858,1806150.2241205638,2.730010000499631,3.3814812617506496,5.969428459709681,43.042846967682344,120.20345430769532,146.15180638450988,161.99921922858988,234.43999849285072,291.0333251790081
23,55.493160228893004,-0.006641541014609666,-47.22493662625936,15.0,26.0,2.0,553.6186625017949,761.242575956084,925.311303915392,4.742350687808371,6.520877091390767,7.926305588633933,3.6907910833453,5.074950506373893,6.1687420261026125,1.6061452850788775,2.90544844100129,1.2909283713692348,2256580.315510527,2484816.9502776642,4833223.418115378,16.080724121656452,10.892250022807586,24.084189507665005,115.20254012204055,122.04211258359277,93.85765134277014,239.85331336082024,247.6173796976022,195.30484827838032
24,55.46529702606652,-0.025563566542664246,-47.22594389135765,25.0,21.0,32.0,309.96126231373273,555.6236123650016,703.4593773933293,2.6551579726102807,4.759525281092189,6.025900657233871,2.0664084154248847,3.704157415766677,4.689729182622193,6.3786208222640335,6.100749868151889,6.756012609071506,4186429.4247454433,1806150.2241205638,1470946.4646647035,4.936591508408549,5.969428459709681,4.957972168420938,97.75392148565635,146.15180638450988,91.17874587055502,216.89501802636687,291.0333251790081,207.71580985698066
25,55.46652763695611,-0.02472840995304033,-47.2247384147289,24.0,32.0,21.0,309.96126231373273,542.0866863289798,635.1078122362326,2.6551579726102807,4.643566671229519,5.440394578788612,2.0664084154248847,3.6139112421931987,4.234052081574884,6.5835643622323206,6.756012609071506,6.100749868151889,3344793.6865175418,1470946.4646647035,1806150.2241205638,4.140851252153532,4.957972168420938,5.969428459709681,109.93096740316524,91.17874587055502,146.15180638450988,216.1970576415611,207.71580985698066,291.0333251790081
26,55.48814960442092,-0.010044589317240723,-47.223757156525366,23.0,15.0,2.0,761.242575956084,1310.3477182523109,1681.0639812841355,6.520877091390767,11.224564531189065,14.400155680927488,5.074950506373893,8.735651455015407,11.207093208560906,2.1479869863673957,1.6061452850788775,1.2909283713692348,5113084.6859843545,2256580.315510527,4833223.418115378,11.4859991123514,16.080724121656452,24.084189507665005,65.17343245143975,115.20254012204055,93.85765134277014,176.11534990702276,239.85331336082024,195.30484827838032
27,55.47648889904245,-0.017964326436575334,-47.22222106487045,40.0,20.0,22.0,612.7824148267026,768.6947449500493,844.4196677214105,5.249153078218106,6.584713087443521,7.233380056086104,4.085216098844684,5.1246316330003285,5.629464451476071,5.311736801905835,5.123240002811675,5.427113293625665,8265031.227274109,472982.46329862974,1090269.0564231481,8.48919937307554,2.730010000499631,4.535618335441449,192.0575145738658,43.042846967682344,45.425027427698055,335.8510033352666,161.99921922858988,146.27792032874345
28,55.52849969362124,0.01735541586321761,-47.233632276676595,30.0,36.0,43.0,370.8524413963306,788.0672542146435,1176.8451976225895,3.1767576667009485,6.750659864274268,10.080969104561882,2.472349609308871,5.253781694764292,7.845634650817263,4.724395293050099,4.825859688162411,4.999923275416667,1938676.8389425564,1651991.9859981823,1099518.362063179,5.153792830227017,2.3898163969080737,3.2647037206640914,84.05283413046529,111.84329821682384,76.9130701728486,192.02005872705413,222.43399882563014,192.88955452521964
29,55.50637782338376,0.002334899173695072,-47.22306837461682,16.0,39.0,5.0,259.71579258932536,285.30089458201667,436.72089606392825,2.2247504483588285,2.4439148917762203,3.740993181967277,1.7314386172621687,1.9020059638801108,2.9114726404261875,0.47501985517326367,0.09843719215589794,0.45835528775146833,8431423.418107368,40481969.98673334,4676485.357105199,12.274921699736982,20.430486803122967,12.560545123310593,64.79160848527066,121.79076909104546,97.03449285116145,167.40841885621373,233.3895743220465,199.3364014218191
30,55.53062756507201,0.01880061589222411,-47.23263726935431,28.0,36.0,43.0,370.8524413963306,424.60299649707116,811.8980324267964,3.1767576667009485,3.6371900892644704,6.954796601527134,2.472349609308871,2.8306866433138067,5.412653549511976,4.555923956095243,4.825859688162411,4.999923275416667,1797624.2194383496,1651991.9859981823,1099518.362063179,5.364713875865544,2.3898163969080737,3.2647037206640914,88.2635222039115,111.84329821682384,76.9130701728486,191.51137969141402,222.43399882563014,192.88955452521964
