cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
21,139.4692904027258,128.98849000823688,-22.353910695373244,24.0,17.0,11.0,145.1353653957104,151.67149075966068,162.79775120233896,3.832033117804206,4.00460751956003,4.298376018901391,1.6126151710634498,1.6852387862184532,1.808863902248212,330920.94691925496,403911.9461785046,552477.3860391874
22,139.4756022669693,128.99332607093007,-22.354992377762734,20.0,31.0,35.0,58.36725259507375,92.5731870046411,289.55752179549097,1.5410802482892063,2.444225206277335,7.645235260229892,0.6485250288341531,1.028590966718235,3.217305797727678,305599.46691247064,429867.4394585179,1119616.4910676382
23,139.4588549754265,128.9785258731968,-22.354248706687088,26.0,28.0,30.0,133.69780088462178,465.1021877020444,668.3809108413421,3.5300452055264917,12.280170181664758,17.647372014869806,1.4855311209402424,5.167802085578273,7.426454564903805,126813.89638712215,419855.1051751115,1129311.2392538004
24,139.4683370456155,128.9881377814299,-22.35333875400412,19.0,21.0,18.0,135.09323400175535,145.1353653957104,161.9724808284395,3.5668890574984573,3.832033117804206,4.27658626837916,1.5010359333528382,1.6126151710634498,1.7996942314271065,661020.9001277691,189832.40802044334,455158.71959883336
25,139.47313834452459,128.99068711213792,-22.35538143217105,39.0,29.0,27.0,16.992359836729182,302.85355202650766,330.4617903938164,0.44865209431523456,7.99629255106776,8.725237446471496,0.1888039981858799,3.3650394669611985,3.671797671042405,707641.2087737722,1249053.410530846,1557724.1048264147
26,139.45907424561852,128.97822706426544,-22.354790540833726,23.0,28.0,32.0,133.69780088462178,339.7110870139936,637.1238716741076,3.5300452055264917,8.969448158783258,16.822087226928755,1.4855311209402424,3.774567633488819,7.07915412971231,283622.61582683097,419855.1051751115,1365846.8870950958
27,139.47093272567258,128.989375420548,-22.354594950966426,29.0,17.0,40.0,50.68661186496088,91.00548783443509,201.17301899725362,1.3382870175456107,2.4028329851422288,5.311604577590537,0.5631845762773434,1.0111720870492793,2.2352557666361528,1249053.410530846,403911.9461785046,1707804.9835819353
28,139.45867221117922,128.97697497095595,-22.355741392938008,26.0,23.0,32.0,339.7110870139936,465.1021877020444,791.4674998281309,8.969448158783258,12.280170181664758,20.897247633185987,3.774567633488819,5.167802085578273,8.794083331423684,126813.89638712215,283622.61582683097,1365846.8870950958
29,139.47119208701503,128.98939922727098,-22.354828322123193,27.0,17.0,40.0,50.68661186496088,128.1610847001424,200.866376642456,1.3382870175456107,3.383858370050798,5.3035082486516725,0.5631845762773434,1.4240120522238051,2.2318486293606234,1557724.1048264147,403911.9461785046,1707804.9835819353
30,139.46331511230107,128.98118013523808,-22.355837282553267,34.0,32.0,13.0,92.19589078173368,222.8568602623284,582.1379640981872,2.4342633915434715,5.8841266339647555,15.370285191849606,1.024398786463708,2.476187336248094,6.468199601090973,1679348.6341775258,1365846.8870950958,907355.3354604298
31,139.47622130065534,128.99357716163834,-22.35533952602091,22.0,20.0,35.0,92.5731870046411,150.0502001123881,268.5749048927682,2.444225206277335,3.961800313769797,7.0912277469666325,1.028590966718235,1.667224445693202,2.984165609919648,1137681.5476618665,305599.46691247064,1119616.4910676382
32,139.46340824878195,128.98052712338935,-22.356635634430212,34.0,30.0,26.0,165.29589236045715,222.8568602623284,637.1238716741076,4.364334854122276,5.8841266339647555,16.822087226928755,1.8366210262273024,2.476187336248094,7.07915412971231,1679348.6341775258,1129311.2392538004,126813.89638712215
33,139.47827611629322,128.99400656810369,-22.356928159582488,35.0,31.0,22.0,346.03931491918183,355.5773540113336,443.3594439367137,9.136533409463382,9.388367837139805,11.706092912809513,3.8448812768798,3.9508594890148174,4.926216043741267,1119616.4910676382,429867.4394585179,1137681.5476618665
34,139.46375872839687,128.98119562260604,-22.35626369245719,30.0,32.0,13.0,92.19589078173368,165.29589236045715,662.3123851269796,2.4342633915434715,4.364334854122276,17.487143724195928,1.024398786463708,1.8366210262273024,7.359026501410887,1129311.2392538004,1365846.8870950958,907355.3354604298
35,139.47597578290842,128.9926180398802,-22.356130163754077,31.0,22.0,20.0,268.5749048927682,289.55752179549097,326.56518109064336,7.0912277469666325,7.645235260229892,8.6223546249332,2.984165609919648,3.217305797727678,3.6285020121182616,429867.4394585179,1137681.5476618665,305599.46691247064
36,139.48512594824902,128.99299758461,-22.364857515165486,45.0,50.0,33.0,616.1111910180235,1544.3104304811995,1727.1248417754405,16.26728593540055,40.7746843620055,45.60156357632631,6.845679900200263,17.15900478312445,19.19027601972713,2863020.0734418943,746066.9990829244,966042.990295026
