cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
21,169.56382896602082,-0.005174136271794098,-32.78930829142036,42.0,22.0,58.0,175.21715276485284,269.004695054767,311.3111640365813,5.385524196985196,8.268204747421713,9.568548399828488,2.781224647061156,4.269915794520111,4.941447048199703,1899904.8490204187,1048035.6308663908,1181870.3743400492,4.470650956508358,5.1473586195196015,5.847176632713481,100.15954938708357,89.15353707889099,78.55067012573409,48.80108180687176,44.860145995539455,21.778323214032408
22,169.56126095188552,-0.007333009494991658,-32.78898381733025,30.0,16.0,29.0,88.65683619163252,162.77253979128676,184.15525545542,2.724981709861257,5.0030230363756525,5.660248261128553,1.4072513681211511,2.5836911077982028,2.9230992929431743,258431.63360824191,1259268.1451037594,1759916.160438301,7.255310438442877,4.818848119169598,5.6510802034962175,54.43442354470644,82.7544245836518,77.21887043295835,,39.906777759384944,35.55488807649504
23,169.56709276780137,-0.0024304864484370084,-32.78481291075904,14.0,31.0,43.0,106.61228842922834,256.7466748298096,396.28249143631234,3.2768655920469136,7.891438754555491,12.180251264189815,1.6922585464956883,4.075344044917612,6.290198276766863,1387892.9769739886,2029914.5948304532,4098561.910749517,2.3961491719671475,2.322446285444781,6.275178857043329,68.51004937446052,84.92071731307082,87.82311064167672,19.419573099188174,41.4968547796438,43.7369099854619
24,169.55940216926015,-0.008895477937435704,-32.790540808750514,19.0,29.0,58.0,127.05896501569408,130.73822830254815,211.1792351956428,3.905320453724305,4.018407335606377,6.490864981542478,2.016808968503081,2.07520997305632,3.3520513523117907,1267305.683488558,1759916.160438301,1181870.3743400492,3.6013910896059667,5.6510802034962175,5.847176632713481,74.38251557367961,77.21887043295835,78.55067012573409,32.712884112937736,35.55488807649504,21.778323214032408
25,169.55930742919085,-0.008974575975701537,-32.79594867247706,52.0,61.0,63.0,93.37946011896831,133.2610131746336,152.61866796140544,2.8701376208699307,4.095948368307885,4.69093074649408,1.4822136526820366,2.1152541773751365,2.4225185390699275,1523759.0025146168,551965.42911478,1130616.4579740646,5.468484040885227,3.962037536765338,5.967869915207117,77.5036857707705,50.48357751649492,74.44716738268279,35.41671740966882,,33.301302730137444
26,169.55997349942615,-0.008414824736784704,-32.794356501102556,53.0,34.0,63.0,85.08469060341511,105.54872662356613,125.94223787207336,2.6151872280029846,3.2441756541669737,3.87099641090944,1.3505506444986526,1.6753766130724783,1.9990831408265608,281112.0636894885,1777833.774824198,1130616.4579740646,,7.140516814684465,5.967869915207117,46.31259594690374,79.27691293557463,74.44716738268279,,36.418552509857896,33.301302730137444
27,169.5598754287388,-0.008497425367808717,-32.792677291612435,35.0,39.0,19.0,133.9495876465842,134.12776653520535,141.25408523595252,4.117112588942681,4.12258914589455,4.341625702491311,2.126183930898162,2.129012167225482,2.242128337078612,1034576.013040193,574512.8529334737,1267305.683488558,2.992879088843269,2.6651719815793093,3.6013910896059667,59.29610221086991,60.00519729835311,74.38251557367961,16.677394693921958,16.771074069733427,32.712884112937736
28,169.5566737403149,-0.011189002829114959,-32.791696033825325,37.0,20.0,33.0,91.1834928476298,119.18762588348015,216.77362731895508,2.8026417468132823,3.6633847374414072,6.662815807543829,1.4473570293274574,1.8918670775155573,3.4408512272850014,2112245.0915241293,4567830.1941426685,2840036.7017447967,4.951499756617446,5.532811893056924,3.887197498228204,76.66260505412126,81.49889214681387,93.63743163496018,34.067974121646124,33.190177926940876,47.22820443468969
29,169.56065109882869,-0.007845571277750691,-32.79038769544136,58.0,24.0,19.0,94.92311938139171,130.73822830254815,172.4606276784522,2.9175839706050994,4.018407335606377,5.3007988586370125,1.5067161806570115,2.07520997305632,2.7374702806103524,1181870.3743400492,1438204.118115035,1267305.683488558,5.847176632713481,3.7838071186186055,3.6013910896059667,78.55067012573409,118.67231085186947,74.38251557367961,21.778323214032408,65.13100377723975,32.712884112937736
30,169.56102764122048,-0.0075292055424894064,-32.78829158481977,22.0,16.0,5.0,88.65683619163252,110.1575297145682,123.8506674309558,2.724981709861257,3.3858331356068305,3.806709307491805,1.4072513681211511,1.7485322176915588,1.9658836100151715,1048035.6308663908,1259268.1451037594,529014.6713287029,5.1473586195196015,4.818848119169598,2.58732519321811,89.15353707889099,82.7544245836518,79.45593984572987,44.860145995539455,39.906777759384944,32.82680086963106
