cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
21,169.56691360345013,-0.002515681633766252,-32.788335575920016,13.0,9.0,6.0,103.88225281487783,168.9557898856042,257.81147339590257,1.3590896800134626,2.2104456169356483,3.372942955962296,0.6925483520991857,1.1263719325706951,1.718743155972684,1546106.7826525082,3334808.4515362405,627707.676751246,5.953192127165951,6.667955355177633,3.645781747018056,84.98559616823972,102.96260273282226,78.24227585548078
22,169.56580754418516,-0.003445109208201365,-32.79894044355557,19.0,23.0,32.0,232.593741409298,278.05563225099195,287.10686924799563,3.0430198134846687,3.637796928945877,3.7562141028196985,1.5506249427286536,1.8537042150066128,1.9140457949866376,1679065.7770681465,2469733.9859966524,2037360.6713687074,3.713060590608307,2.885554749472322,0.33000833367399807,119.9796306811024,130.42967656100618,174.5988479743601
23,169.56527898821858,-0.003889497776091343,-32.79672805881859,17.0,19.0,22.0,211.6615596509557,239.58920987686906,278.05563225099195,2.769164449001712,3.134541403973067,3.637796928945877,1.4110770643397048,1.5972613991791271,1.8537042150066128,2764427.967508505,1679065.7770681465,4428321.394083607,2.433595737765498,3.713060590608307,4.519020312547304,182.6713983170667,119.9796306811024,149.10790975509644
24,169.55795083542674,-0.010049558555973913,-32.79643083741917,15.0,14.0,25.0,254.42967115863246,337.6315339250655,390.002358907144,3.328698896982261,4.41722739900913,5.102393977883518,1.6961978077242168,2.2508768928337712,2.600015726047627,5655959.278011473,6032506.419291272,4212701.51055174,6.884213136888119,6.122656545252232,9.696615618380559,192.16253596341915,187.30167723873492,176.6981876758174
25,169.5613218777587,-0.007215973637634056,-32.795020677879954,11.0,15.0,4.0,200.6135392378622,316.3032702898821,370.73193617618284,2.624623392939218,4.138190102322467,4.850279377425074,1.3374235949190816,2.1086884685992144,2.4715462411745532,4333010.047822831,5655959.278011473,3037430.0243622116,9.103976495991935,6.884213136888119,5.6135344815163295,154.1952698872805,192.16253596341915,125.21712474048915
26,169.5691180172577,-0.0006624088521241956,-32.798146747899516,19.0,34.0,32.0,195.1563625543618,277.7346132009739,324.31706883745437,2.5532272467103483,3.6335970423806048,4.243034487273584,1.3010424170290789,1.8515640880064927,2.162113792249696,1679065.7770681465,2479831.690841513,2037360.6713687074,3.713060590608307,5.190454426703546,0.33000833367399807,119.9796306811024,142.41507091287988,174.5988479743601
27,169.5681676481858,-0.0014611607080182356,-32.80503981764047,28.0,31.0,39.0,247.95184979766185,280.74151442915417,316.25704299575614,3.2439496744528378,3.6729362780758703,4.137585311449346,1.6530123319844126,1.8716100961943607,2.1083802866383743,713345.1146680075,1574470.9915709335,3204488.788876154,3.256338965612856,6.0195595702066065,7.8989670274105,197.5517754159243,123.7203133874483,165.27740774919377
28,169.5667120935029,-0.0026846302521982765,-32.80344221480136,27.0,32.0,36.0,247.95184979766185,375.32850055816107,395.86190758847147,3.2439496744528378,4.910416148103283,5.179054349857934,1.6530123319844126,2.5021900037210747,2.639079383923144,1260238.3380613462,2037360.6713687074,3396757.318512237,4.421472035664989,0.33000833367399807,12.871491260489773,162.07966900130236,174.5988479743601,181.21864509814625
29,169.5642865283055,-0.004723532938431806,-32.8009479344008,16.0,22.0,32.0,291.78601492683987,293.26383760146683,369.4344962370797,3.817431283147213,3.836765611115192,4.833304993602124,1.9452400995122656,1.9550922506764457,2.4628966415805316,3898378.0126042585,4428321.394083607,2037360.6713687074,6.604649626946729,4.519020312547304,0.33000833367399807,148.09290415050341,149.10790975509644,174.5988479743601
30,169.5604991700947,-0.007907015691357775,-32.80106183687758,40.0,16.0,37.0,245.0550420141198,298.1108776441203,322.21044717867983,3.206050789350581,3.9001793504410185,4.215473593294556,1.6337002800941325,1.9874058509608024,2.1480696478578656,3734827.510794209,3898378.0126042585,11903104.341059586,6.462050424322981,6.604649626946729,6.354321551850402,131.97727338832138,148.09290415050341,174.18005212561286
