cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
45,169.53955923790133,-166.72189580366668,-32.79071102253442,29.0,42.0,549.0792228309177,770.9078980801278,67657675.91804199,94991459.45106287,42.0,74.0,760.6780193354815,817.4986665895038,100732385.32388645,74.0,29.0,806.0567266791653,832.2017713993195,102544105.48893419
46,169.5658443301026,-166.76184983946092,-32.798621942828454,54.0,36.0,331.1614710308414,387.06466170087316,40805797.327440046,47694202.132919684,55.0,55.0,355.746829554174,413.672852915958,50972869.95195291,36.0,54.0,381.90303687027404,432.69332877327275,53316577.63174145
47,169.56889564891316,-166.76648593451154,-32.79781056955492,54.0,54.0,350.50204586578684,381.88202509839897,43188947.68141788,47055596.38520383,46.0,62.0,389.0497121631357,489.1383804640762,60271750.68451876,62.0,73.0,402.3377534773137,526.7385907968454,64904857.78339744
48,169.5581025673368,-166.75008534680342,-32.79633473877273,37.0,37.0,258.20172354775025,265.1104997735949,31815679.42637856,32666980.519995812,64.0,64.0,331.1804276016042,435.3812943746127,53647789.40951856,39.0,39.0,350.94029363735734,460.29829562999737,56718068.38874228
49,169.5494682295869,-166.7369613406886,-32.79579593001696,41.0,41.0,290.7391427756464,291.868524596931,35824948.16902113,35964110.87282594,63.0,63.0,357.47174423546124,388.3689768333679,47854920.16204916,40.0,34.0,546.0869896509813,591.6813684110781,72907122.69953737
50,169.56153647370036,-166.75530388862234,-32.795088462956954,30.0,30.0,241.91315461406964,266.3407591550932,29808597.984830353,32818573.381403673,23.0,23.0,372.1447295803616,377.80813831442816,46553611.06087192,37.0,39.0,383.6426326506358,461.0306150876067,56808304.971135534
51,169.5793705111275,-166.78239801855867,-32.785764062516535,66.0,66.0,618.3512427405651,850.2166072815754,76193391.12698975,104763897.96542664,32.0,81.0,996.7166737135086,1087.0960565987427,133952241.55438155,78.0,78.0,1034.315586846676,1172.7525716036134,144506858.24992722
52,169.56589856226603,-166.76193224202507,-32.8042388710351,61.0,61.0,302.85711977201925,440.9335286957945,37318128.25362861,54331937.07838642,73.0,60.0,401.7742406160584,440.96746903881626,54336119.21574152,60.0,55.0,428.2396687682615,484.7129101350988,59726443.149917215
53,169.57295346641527,-166.77265063612208,-32.800133240406986,69.0,69.0,171.254282008089,191.03081852498565,21101994.447981928,23538864.106868193,77.0,77.0,202.5260651757346,223.6883360812614,27562931.394860752,62.0,62.0,259.0738571032051,391.617608986356,48255217.40923071
54,169.5678200525041,-166.76485174834744,-32.80044388833209,73.0,73.0,194.53043390378713,203.21287295596724,23970087.568422593,25039939.828615375,46.0,47.0,331.1614710308414,381.88202509839897,47055596.38520383,47.0,46.0,350.50204586578684,432.69332877327275,53316577.63174145
55,169.56434671949512,-166.7595742570536,-32.801090221448014,38.0,46.0,330.86728907538674,413.672852915958,40769548.15505201,50972869.95195291,46.0,38.0,355.746829554174,418.850589169953,51610871.87753254,67.0,52.0,403.9482169471987,484.7129101350988,59726443.149917215
56,169.5666936946433,-166.7631403836161,-32.79244572792466,44.0,44.0,241.96405054223317,335.4877126329421,29814869.393527046,41338877.87408498,33.0,36.0,381.55900871108895,453.52616630215937,55883604.9592655,36.0,35.0,415.08667040326367,539.5123245173221,66478840.37167961
57,169.56042231183991,-166.7536107431769,-32.80104838347116,72.0,39.0,279.4344218807315,347.5864053212045,34431977.69982602,42829681.74153802,39.0,72.0,346.35297972161464,365.0352699261743,44979735.099037535,38.0,67.0,351.7524071733331,437.8949974643376,53957528.51806094
58,169.57024781831845,-166.7685402533873,-32.792633309463405,59.0,59.0,338.8176281158328,492.91062041140117,41749190.87302588,60736567.011979386,56.0,56.0,438.5495206645398,665.7746169545984,82036910.87805696,35.0,47.0,631.2314759294306,686.3295493885864,84569694.67192537
59,169.5727882448702,-166.77239964319796,-32.79158115218291,58.0,58.0,338.8176281158328,492.91062041140117,41749190.87302588,60736567.011979386,78.0,78.0,382.56598229305786,535.4295627293845,65975761.46719172,66.0,66.0,474.9831938441585,586.3674841743339,72252344.58627711
60,169.56515240845107,-166.76079849396191,-32.80763322833146,70.0,52.0,378.5701751307526,440.96746903881626,46647509.4234628,54336119.21574152,96.0,96.0,421.64163165700677,443.5739786513996,54657293.96669314,52.0,70.0,428.2396687682615,574.9434689372503,70844674.63910924
61,169.56817213581,-166.76538668483087,-32.805172626699225,83.0,70.0,258.06345003423553,288.2966981566058,31798641.330277976,35523989.54663723,70.0,83.0,288.210040604681,391.33678843559113,48220614.63239129,52.0,73.0,302.85711977201925,395.2389535591202,48701440.3717905
62,169.57086945311408,-166.76948466108527,-32.80041164157663,53.0,53.0,259.0738571032051,391.617608986356,31923143.93604985,48255217.40923071,77.0,47.0,371.64011315560634,489.1383804640762,60271750.68451876,54.0,73.0,375.7688964217256,528.7473075848982,65152372.3565341
