cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
41,139.4730984360803,0.00318726727223738,-22.355353999018206,52.0,62.0,65.0,16.163194592168992,177.31522919936126,184.82052559231656,0.3407935251336541,3.738610067097084,3.8968557901404353,0.1795910510241,1.9701692133262367,2.053561395470185,0.7357323298297238,0.49230117410138363,0.516352463380547,421616.50678558584,283834.1365952623,144425.00671720217,2.7898001737249847,10.546704579815291,2.8800364858750855,,35.73115338821767,,83.96405243366213,94.99852740192863,57.27668788837754
42,139.47486502175948,0.004821076993435682,-22.35547338190544,37.0,56.0,68.0,173.80154742118182,265.4881319514095,266.91120710090166,3.6645257026136053,5.597695174238956,5.627700059347529,1.9311283046797991,2.9498681327934406,2.9656800788989086,1.3598185085658163,1.5156416112473896,1.4476891426755591,550426.1395058004,1286745.5613107767,459129.87265063415,5.465919541107763,4.075855204481838,3.6261112313962856,,49.54626826333515,,74.55671053905544,109.11130584372597,82.82645581906579
43,139.47791201766523,0.007639093822229413,-22.35497453995652,49.0,50.0,55.0,194.45588765334168,350.26319221428787,416.55447779486855,4.100012968258351,7.385138335036004,8.782859606646097,2.16062097392602,3.891813246825423,4.628383086609653,2.0103553575840034,1.5518850617931426,2.1564814714653924,931112.7621624134,1002936.4053446297,2162102.864423823,4.533325256497344,4.7424294219350625,3.3117891410212676,46.18687759399811,48.15906200547567,67.97085074237619,122.89027324616076,111.90115981258556,136.28321398780488
44,139.47114579115197,0.0013813838776298346,-22.354749429204468,30.0,60.0,62.0,181.94336484886867,194.5095079997461,234.3751611577472,3.8361921789623055,4.101143528604316,4.941692492733791,2.0215929427652086,2.1612167555527355,2.6041684573083037,0.06872663919419271,0.07573447270062152,0.49230117410138363,1300327.0564797001,657502.4520694506,283834.1365952623,8.952090755419862,6.102776842425848,10.546704579815291,19.400059579703008,,35.73115338821767,81.17251462124807,70.45586718343199,94.99852740192863
45,139.45864665751958,-0.01017832992393973,-22.355690298440447,47.0,38.0,64.0,282.6520938041013,307.4824168684646,502.2537196881645,5.9595894168457,6.4831253601308,10.589788712124301,3.1405788200455715,3.416471298538497,5.580596885424051,3.252389763810695,3.063425333976673,3.244728360942496,700548.849040308,1725960.2145819128,523240.0682255043,3.546383737343083,5.004123507924846,0.5202189484868301,35.42099158932224,48.40136947863778,,94.17467509182008,108.40252316381586,70.83228694024841
46,139.46482762433868,-0.0044619149579943175,-22.35590206462708,51.0,48.0,59.0,260.9094104210472,302.2676619721748,406.50356170098814,5.501154936352223,6.3731746512111895,8.570940662843022,2.898993449122748,3.3585295774686097,4.516706241122092,1.836217945831709,1.9063884192728446,1.8995142749410177,1518295.664074134,1692569.6966473358,1480847.2614822714,3.3905262046636087,5.128658589271111,3.2441853036047346,46.31526203879862,44.151370407081,42.667283788367236,111.79296771867168,102.30780987116358,103.36200647946119
47,139.45833192433037,-0.01046931206592912,-22.356965664810165,64.0,45.0,74.0,228.92689535117248,282.6520938041013,588.4479969040829,4.826818313653667,5.9595894168457,12.407155409731965,2.5436321705685847,3.1405788200455715,6.538311076712035,3.244728360942496,3.1412465597954347,2.941509300493137,523240.0682255043,1303771.733495407,1477869.3401493712,0.5202189484868301,4.023282771451722,5.942197082050604,,36.551620716786104,47.262739591022495,70.83228694024841,94.05989748304343,107.70476703241394
48,139.46331867865464,-0.005857450944326454,-22.355804783547697,51.0,46.0,59.0,159.53455544056615,302.2676619721748,355.1679526668956,3.3637127375526483,6.3731746512111895,7.488552953665303,1.772606171561847,3.3585295774686097,3.946310585187732,1.836217945831709,1.5125707164713489,1.8995142749410177,1518295.664074134,1168300.7569992093,1480847.2614822714,3.3905262046636087,4.279645772963524,3.2441853036047346,46.31526203879862,57.05548727205484,42.667283788367236,111.79296771867168,120.95463526766257,103.36200647946119
49,139.47792159562445,0.007647902550412714,-22.35587445658432,43.0,55.0,50.0,194.45588765334168,228.6556585463547,350.7289168771746,4.100012968258351,4.821099410355638,7.3949579253838,2.16062097392602,2.5406184282928312,3.8969879653019417,1.9900949797247767,2.1564814714653924,1.5518850617931426,749963.6067829089,2162102.864423823,1002936.4053446297,1.3960888360575103,3.3117891410212676,4.7424294219350625,,67.97085074237619,48.15906200547567,97.90640730287146,136.28321398780488,111.90115981258556
50,139.4762317357012,0.006085072947769228,-22.35543586752668,56.0,37.0,68.0,152.37036991769105,171.22571697531762,248.5898612972885,3.2126591803409434,3.610215502189616,5.2414029083727405,1.6930041101965678,1.90250796639242,2.762109569969874,1.5156416112473896,1.3598185085658163,1.4476891426755591,1286745.5613107767,550426.1395058004,459129.87265063415,4.075855204481838,5.465919541107763,3.6261112313962856,49.54626826333515,,,109.11130584372597,74.55671053905544,82.82645581906579
51,139.46367325514422,-0.005529498274606667,-22.356466292344408,48.0,59.0,46.0,159.53455544056615,206.9073007733733,260.9094104210472,3.3637127375526483,4.362545287959983,5.501154936352223,1.772606171561847,2.2989700085930376,2.898993449122748,1.9063884192728446,1.8995142749410177,1.5125707164713489,1692569.6966473358,1480847.2614822714,1168300.7569992093,5.128658589271111,3.2441853036047346,4.279645772963524,44.151370407081,42.667283788367236,57.05548727205484,102.30780987116358,103.36200647946119,120.95463526766257
52,139.47315059709695,0.0032355093349215264,-22.355296828621558,41.0,62.0,65.0,16.163194592168992,184.41317337047366,198.63453987459786,0.3407935251336541,3.888266955868768,4.188117928739332,0.1795910510241,2.0490352596719315,2.207050443051088,0.7246253763156905,0.49230117410138363,0.516352463380547,473718.8783984295,283834.1365952623,144425.00671720217,3.728270587374191,10.546704579815291,2.8800364858750855,,35.73115338821767,,87.40957079129669,94.99852740192863,57.27668788837754
53,139.48512204958672,0.014306240959420432,-22.364869386916265,63.0,75.0,85.0,392.88780333592393,435.6087125936887,1466.1876748734946,8.283858659088242,9.184609385056882,30.91389288041741,4.365420037065824,4.840096806596543,16.290974165261062,4.756732068721976,4.723608473729912,3.0263940314283784,396637.2830329231,1256332.5225348296,1971901.6082567722,4.7713867146202436,7.114630657983988,3.0589856165155638,,10.616662273657603,65.02808964872656,72.98138652851698,77.53595842975282,130.64104843226502
54,139.463194484776,-0.005972202869961203,-22.358312364463693,59.0,61.0,51.0,210.96685266408684,229.510718129719,410.19331422761553,4.4481390727412125,4.839127948461293,8.648737398089242,2.3440761407120774,2.550119090330212,4.5577034914179535,1.8995142749410177,2.2889186141819144,1.836217945831709,1480847.2614822714,955139.0179556768,1518295.664074134,3.2441853036047346,1.6626459472003894,3.3905262046636087,42.667283788367236,45.77123976424427,46.31526203879862,103.36200647946119,119.42228278032195,111.79296771867168
55,139.4783285101373,0.008024176086831857,-22.356863541467114,49.0,43.0,56.0,228.6556585463547,416.55447779486855,492.62239527259015,4.821099410355638,8.782859606646097,10.386716665903954,2.5406184282928312,4.628383086609653,5.473582169695447,2.0103553575840034,1.9900949797247767,1.5156416112473896,931112.7621624134,749963.6067829089,1286745.5613107767,4.533325256497344,1.3960888360575103,4.075855204481838,46.18687759399811,,49.54626826333515,122.89027324616076,97.90640730287146,109.11130584372597
56,139.47600242165478,0.0058729653016074594,-22.356108396297593,68.0,50.0,37.0,101.45714405518795,152.37036991769105,263.2813429212179,2.1391772260981363,3.2126591803409434,5.551166042356224,1.1273016006132002,1.6930041101965678,2.9253482546802005,1.4476891426755591,1.5518850617931426,1.3598185085658163,459129.87265063415,1002936.4053446297,550426.1395058004,3.6261112313962856,4.7424294219350625,5.465919541107763,,48.15906200547567,,82.82645581906579,111.90115981258556,74.55671053905544
57,139.46082475973355,-0.008163663956108921,-22.36027889050137,58.0,79.0,73.0,189.9425691866709,234.1335071440577,238.4357608404897,4.004851723893158,4.936597328982697,5.027308369728114,2.110472990963011,2.6014834127117537,2.649286231560997,3.0182601796159516,2.8758466681289843,3.111980071333259,1867307.8211941351,1723022.0763111447,3192023.8719604937,6.146935689609763,7.750672019451567,4.423395405611925,35.602231738881265,52.664241820018006,,93.25491958652393,114.49092454400636,87.9320801275855
