cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
31,169.5501994771901,142.5479130341942,-32.78148180623172,15.0,18.0,14.0,376.3801663911584,466.55876697113985,608.7537353471904,4.647135006626586,5.760562782648933,7.516232380339051,3.136501386592989,3.887989724759502,5.072947794559925
32,169.5482741300243,142.53745203475586,-32.787000210430165,13.0,25.0,50.0,488.802520064198,579.2810540189757,607.6435276982231,6.0352045754634895,7.152335604234343,7.5025247376659285,4.07335433386832,4.827342116824802,5.063696064151864
33,169.54973313913905,142.5423856280278,-32.784686806120426,25.0,24.0,15.0,447.08951950526273,557.8566966609959,599.0523266273127,5.520177582974716,6.887810823273184,7.396449883540636,3.7257459958771926,4.648805805508303,4.992102721894277
34,169.55583530640556,142.5330684922769,-32.79370164972593,47.0,40.0,59.0,187.99788438083775,266.9852181901469,354.4960430118713,2.3211944403307743,3.296444564546573,4.376933532355679,1.5666490365069825,2.224876818251226,2.9541336917655965
35,169.54382313545557,142.52671603385878,-32.79136470667331,48.0,64.0,89.0,297.02994297190327,320.05060197019225,555.9820178791387,3.667404314196764,3.951638500424796,6.864664318299553,2.4752495247658626,2.6670883497516042,4.633183482326159
36,169.56078603575216,142.53791960764187,-32.79327153781087,46.0,13.0,59.0,260.5077294748517,298.1420616396597,361.8667919311775,3.216467543301003,3.681135552061946,4.467939563986913,2.170897745623766,2.4845171803304993,3.0155565994264815
37,169.54933204659156,142.5333776774055,-32.79009766239329,40.0,34.0,47.0,324.61995409596534,445.7154063373032,523.3742876492893,4.008055915893005,5.503211520530143,6.462059350852128,2.7051662841330466,3.714295052810863,4.361452397077414
38,169.56638773972497,142.5526984877194,-32.78698864704446,42.0,16.0,20.0,207.32823553816243,297.49559783133554,519.430024700308,2.5598646986892617,3.673153716507258,6.41335986011833,1.727735296151355,2.479129981927798,4.328583539169236
39,169.56361728961178,142.54148900959228,-32.79252950519363,27.0,30.0,63.0,109.6018242234966,226.7098321327875,304.618387528166,1.3532447233412714,2.7991676802538947,3.761098215980644,0.9133485351958058,1.8892486011065641,2.538486562734719
40,169.5510313281084,142.53163698843053,-32.79207514325046,34.0,37.0,89.0,266.9852181901469,324.61995409596534,438.3930250261584,3.296444564546573,4.008055915893005,5.412802679784998,2.224876818251226,2.7051662841330466,3.653275208551323
41,169.57206079836644,142.56632224011142,-32.78146340738555,65.0,43.0,26.0,202.5533879628532,249.93897089611522,515.2154922400724,2.5009100477806245,3.085975949020797,6.361323373923225,1.6879448996904447,2.0828247574676286,4.29346243533394
42,169.56747364292633,142.5515869667875,-32.78825181976958,38.0,16.0,71.0,207.32823553816243,270.4175597747191,424.06517828759985,2.5598646986892617,3.338823404232267,5.235897932686454,1.727735296151355,2.2534796647893276,3.533876485730002
43,169.5678613965924,142.56600072493768,-32.779460658639984,41.0,26.0,65.0,249.93897089611522,345.0499637372959,443.3744931743695,3.085975949020797,4.260303567251119,5.474308457939867,2.0828247574676286,2.875416364477468,3.6947874431197487
44,169.56033982247217,142.52952753323768,-32.79827295569839,49.0,51.0,69.0,114.45377301855262,222.370677707217,248.020791949634,1.4131513366786796,2.7455924968865784,3.062292351086726,0.9537814418212727,1.8530889808934765,2.0668399329136182
