cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
30,169.58792168551315,-166.79538426050132,-32.81321740383745,26.0,26.0,98.34695129789115,140.9085556444004,12118335.354476117,17362786.635261137,463.0,463.0,120.33268927305852,175.92092884720657,21677019.81105635,410.0,472.0,151.66331934232176,182.93743804757312,22541595.788101733
31,169.55472323583373,-166.74494923101884,-32.788184160494865,58.0,58.0,136.91290696952032,158.86640992366242,16870441.829836514,19575557.824718207,34.0,71.0,178.36297642477388,216.2458224166956,26645863.043709807,71.0,35.0,214.73434037964543,259.20325667407815,31939088.582771182
32,169.5550914225939,-166.7455088485427,-32.78559827233697,35.0,64.0,161.07748746253634,175.37143203186776,19848007.33898595,21609310.67928751,64.0,35.0,165.21003197864644,184.48967358723593,22732862.630342666,40.0,40.0,191.60658521930168,195.66027718490596,24109307.133420873
33,169.5585100434115,-166.7507046196866,-32.78798694630401,44.0,47.0,168.73192848013224,192.15834726961492,20791189.430328254,23677798.47411504,47.0,44.0,188.53221409207157,250.43226887325926,30858325.32414822,39.0,39.0,225.7273420241619,336.068929121394,41410495.5117205
34,169.55616690070588,-166.7471434637802,-32.78828964647705,53.0,53.0,82.48098304695995,103.04716648770587,10163326.872252041,12697497.017920569,58.0,38.0,149.86382078194677,176.46440558181231,21743987.1470072,38.0,58.0,158.23973993149295,193.8956500424512,23891869.346019566
35,169.55572917269217,-166.74647816878436,-32.786739381967244,32.0,32.0,161.07748746253634,184.48967358723593,19848007.33898595,22732862.630342666,53.0,34.0,167.91330517783825,207.8714008886748,25613964.778059386,34.0,53.0,198.492701485936,208.44285117661906,25684379.022083532
36,169.5600704443399,-166.7530760132998,-32.78626987029315,39.0,39.0,153.53252493560836,156.23712790246367,18918315.213997535,19251577.05201616,47.0,47.0,161.8864545517008,244.2366291298069,30094897.08203365,46.0,44.0,220.33558447269272,263.8728198944256,32514473.30305291
37,169.55533107527862,-166.74587310023256,-32.779136648644254,41.0,41.0,301.65790530354906,310.81573856651977,37170360.753984995,38298791.20491891,42.0,49.0,587.1094150290178,594.0363376926302,73197302.58947515,49.0,40.0,591.6136023682463,615.5194212924382,75844453.39664309
38,169.55672069286598,-166.74798515039257,-32.789448305264344,34.0,61.0,158.23973993149295,159.67404811754452,19498339.395255215,19675075.200187236,61.0,34.0,158.55289651907802,176.46440558181231,21743987.1470072,58.0,53.0,179.8614440231827,206.28636622049947,25418656.419193856
39,169.56027572178812,-166.75338797226186,-32.78749884515263,44.0,44.0,121.87273455705888,137.6183028062572,15017188.112481518,16957360.877091333,36.0,36.0,153.53252493560836,156.23712790246367,19251577.05201616,46.0,72.0,198.98054726760068,267.77073985862825,32994775.952883277
40,169.55481050200663,-166.74508186990093,-32.784068865246915,64.0,64.0,35.638892575340975,40.48503720606444,4391433.045870042,4988576.170658092,49.0,49.0,112.41928661131956,169.62202054050016,20900866.79136025,32.0,32.0,191.60658521930168,195.66027718490596,24109307.133420873
41,169.55480007388226,-166.74506601985092,-32.78152648702905,37.0,37.0,301.65790530354906,310.81573856651977,37170360.753984995,38298791.20491891,40.0,40.0,313.2751000884155,313.2785527547552,38602259.770593084,49.0,49.0,315.8990457078508,341.0301193986902,42021814.58917249
42,169.5591221197098,-166.751634825467,-32.78202290859539,50.0,50.0,275.732810172696,379.8647779577157,33975864.20125749,46807030.69993299,65.0,36.0,388.67137830184254,552.621928848689,68094209.01865265,49.0,47.0,481.1106585824381,553.0406302776228,68145801.51096945
43,169.5623428074384,-166.75652920603775,-32.7860868394927,46.0,46.0,119.35635485128256,145.0191936751543,14707119.190655677,17869300.457196023,45.0,45.0,277.3877280174029,306.09671203980037,37717311.60394748,36.0,72.0,280.9079536343857,406.74850687954,50119650.34247478
44,169.55982239893189,-166.75269905761394,-32.788377905114665,39.0,39.0,121.87273455705888,137.6183028062572,15017188.112481518,16957360.877091333,33.0,33.0,168.73192848013224,250.43226887325926,30858325.32414822,72.0,70.0,198.79845193529258,251.01231558032714,30929798.821035955
45,169.56326082824665,-166.75792420967926,-32.78814230330534,59.0,62.0,157.92498136582716,179.09104547117954,19459554.76793232,22067642.355579782,62.0,59.0,162.76447758986345,232.5617373707615,28656314.068567574,46.0,43.0,243.4148712517784,306.09671203980037,37717311.60394748
46,169.56175858918013,-166.7556414216802,-32.78685946951664,43.0,43.0,119.35635485128256,145.0191936751543,14707119.190655677,17869300.457196023,39.0,72.0,198.98054726760068,275.87591235033074,33993497.28653006,36.0,39.0,220.33558447269272,288.63104015524044,35565187.249352664
47,169.55877352098537,-166.75110504298817,-32.786479760280415,36.0,33.0,161.8864545517008,192.15834726961492,19947688.46125618,23677798.47411504,33.0,36.0,188.53221409207157,244.2366291298069,30094897.08203365,39.0,44.0,223.67584239817577,305.4231048939723,37634309.566948995
48,169.56704064412213,-166.76366753745947,-32.78546722291214,82.0,82.0,174.63303092455573,184.4811627351394,21518324.714532796,22731813.921069045,80.0,80.0,194.13541278648165,209.46551759938976,25810392.22842441,54.0,98.0,254.50591021142574,326.7235745217412,40258958.63588939
