cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
21,169.56238640017074,-166.75659544941473,-32.78633120019278,20.0,37.0,297.87362302647057,427.12609838288785,36704060.56771149,52630582.143564455,26.0,20.0,372.5468246696413,452.6367058082189,55774005.420002915,37.0,26.0,386.9577131933079,472.7922515228287,58257576.68478245
22,169.55465297316942,-166.74484243611298,-32.781526811378406,23.0,23.0,307.362510452434,322.80250103299363,37873283.59345018,39775803.00311069,17.0,17.0,362.3688019440847,367.577930611655,45293042.36960016,39.0,30.0,549.9639340918285,804.6662312482348,99151169.50755577
23,169.5553523396989,-166.74590542021875,-32.77913244380167,22.0,22.0,307.362510452434,322.80250103299363,37873283.59345018,39775803.00311069,25.0,17.0,582.2653976155462,655.2188163959199,80736222.55557333,17.0,25.0,654.1746523160119,788.2411418097537,97127265.97606881
24,169.55689789381216,-166.7482544681618,-32.79096916974214,18.0,18.0,211.45964225153682,216.66615318504574,26056108.755011488,26697656.30362737,33.0,33.0,225.80677100653702,343.17975601189016,42286693.337575294,51.0,46.0,275.46378213376926,377.42907673998667,46506903.00110539
25,169.55911983589206,-166.75163135465542,-32.78198470826116,28.0,28.0,272.9567853500791,373.79681322296176,33633801.74473126,46059334.60356747,35.0,20.0,403.17147733873935,562.8260993494056,69351569.39952892,20.0,35.0,549.9341085119657,602.9688667300803,74297970.9987229
26,169.56032176046332,-166.75345793671556,-32.788539897732015,19.0,20.0,244.65237020224916,275.86402151311626,30146124.798500683,33992032.09466485,20.0,36.0,271.34897850172206,282.79168580937267,34845660.58093055,36.0,19.0,273.0820303668153,355.8498814495081,43847909.28794329
27,169.56710059302605,-166.76375862307518,-32.78529177021464,45.0,45.0,201.98794907958066,215.96876983225894,24889004.40945027,26611724.556601465,59.0,59.0,359.6309082800027,363.84172726548815,44832666.48093409,34.0,34.0,393.412648203197,412.82891730779,50868880.000232026
28,169.56093097847364,-166.75438374955513,-32.78070922857273,35.0,35.0,179.74775623277716,263.7227568985684,22148562.41598743,32495982.504059177,25.0,29.0,272.9567853500791,339.32603079752477,41811836.37561189,31.0,25.0,324.76709367813737,373.79681322296176,46059334.60356747
29,169.5611911196847,-166.75477907439063,-32.77798393453769,31.0,31.0,219.24318826331395,311.85520430702286,27015199.195263226,38426874.42729304,28.0,28.0,337.33780616829443,339.32603079752477,41811836.37561189,35.0,35.0,420.7754096137305,448.8665938716026,55309451.30654145
30,169.5563193165993,-166.74737511597664,-32.787545986095544,16.0,18.0,209.33583207578513,219.21614996795554,25794412.34653767,27011867.529906623,18.0,16.0,216.50284383120794,302.84894555873433,37317121.02507156,19.0,19.0,268.86884478347974,407.3446810782987,50193111.07282687
31,169.56276413032057,-166.75716944340667,-32.778815481990556,29.0,35.0,219.24318826331395,308.0529823582354,27015199.195263226,37958363.71029083,35.0,29.0,301.01315007123253,311.85520430702286,38426874.42729304,28.0,28.0,324.76709367813737,415.05960278089776,51143745.60894417
32,169.56203164229092,-166.75605635801756,-32.79222857081565,57.0,57.0,174.98847840967275,179.2333920576607,21562123.04044639,22085182.336725906,52.0,36.0,193.8652323134772,292.08111559460696,35990306.38747262,50.0,52.0,215.25317379944937,292.30593826645736,36018009.09199795
33,169.55506553219467,-166.7454694971859,-32.79094317156355,24.0,46.0,225.80677100653702,320.36538253897834,27823965.463658314,39475500.66715301,18.0,16.0,275.2225779959094,338.0202221101579,41650934.31028635,46.0,24.0,309.31352935566036,343.17975601189016,42286693.337575294
34,169.56798826152914,-166.76510731680247,-32.782224889049665,27.0,27.0,393.412648203197,412.82891730779,48476402.57986428,50868880.000232026,54.0,54.0,491.6101184054947,494.8206948651915,60971926.85260055,64.0,45.0,549.3777900918993,628.3976092649457,77431306.86336741
35,169.56229968316816,-166.7564636744511,-32.78121381191515,28.0,28.0,179.74775623277716,263.7227568985684,22148562.41598743,32495982.504059177,31.0,31.0,301.01315007123253,308.0529823582354,37958363.71029083,25.0,29.0,403.17147733873935,448.8665938716026,55309451.30654145
36,169.56084279822184,-166.75424974533078,-32.79069398913285,32.0,26.0,239.1962082906346,282.79168580937267,29473815.19539982,34845660.58093055,26.0,32.0,273.0820303668153,292.08111559460696,35990306.38747262,51.0,50.0,303.3728126099468,316.5674802281189,39007522.21699111
37,169.56366905790625,-166.7585445341906,-32.78919768604773,53.0,53.0,209.38362446440686,297.5574671703363,25800301.33633416,36665103.76591586,70.0,70.0,305.6468426378019,359.13945452356285,44253251.285416126,21.0,52.0,386.9577131933079,405.80572913313756,50003481.03834419
38,169.54975511641192,-166.7373974556794,-32.78463019046733,42.0,48.0,322.8312486550675,380.26281513486526,39779345.29212258,46856076.9380989,48.0,39.0,354.53460478386614,401.73373260937234,49501728.63233639,39.0,42.0,397.00814401342404,417.5733093783791,51453485.14971315
39,169.55019060092403,-166.73805945651455,-32.7814378173814,38.0,38.0,397.00814401342404,401.73373260937234,48919440.45159218,49501728.63233639,22.0,42.0,549.9639340918285,755.1787139530982,93053305.54198755,42.0,48.0,681.0500682829256,773.4388620097853,95303325.44451672
40,169.5496671094615,-166.73726367108074,-32.790303728794605,58.0,58.0,208.59943493891916,223.7269047557823,25703673.311510667,27567683.836353384,47.0,47.0,257.2762626406012,310.6261374446458,38275428.5083825,78.0,48.0,362.47687909152955,401.47461348879983,49469799.9110246
41,169.54419710904986,-166.7289477223729,-32.791072241077245,106.0,61.0,488.7506256161067,557.2459938506016,60223971.43746528,68663987.43734853,61.0,106.0,529.1316034295635,578.4102050587754,71271846.71055318,91.0,78.0,538.4060929730093,797.7790963805636,98302535.0673773
42,169.5478778686475,-166.73454366505658,-32.786457783026606,48.0,48.0,155.299915211884,200.84359982025413,19136093.47542299,24747997.414274987,58.0,58.0,315.47588931106105,359.11056585618036,44249691.61676687,38.0,38.0,322.8312486550675,417.5733093783791,51453485.14971315
43,169.55933189956352,-166.7519536355348,-32.79575902476991,56.0,83.0,197.06524509151478,218.67033810408356,24282427.621955298,26944612.458757363,83.0,56.0,200.6442514251453,221.76064314559488,27325400.60060051,68.0,68.0,202.63770542746488,303.8183662904505,37436573.28435853
44,169.57475863398625,-166.7753928403286,-32.78635517951654,92.0,92.0,337.62629115478165,354.8693080543089,41602394.04177006,43727082.79473856,93.0,93.0,522.6294889708053,523.9960216794564,64566917.747039005,111.0,111.0,571.5335347117331,581.2599087739283,71622987.8982095
45,169.5665582784475,-166.76293463126188,-32.78683870693328,59.0,27.0,201.79310362345817,215.96876983225894,24864995.50476713,26611724.556601465,27.0,59.0,201.98794907958066,240.93271562845294,29687788.053607192,53.0,53.0,257.42162986989865,323.46413069175236,39857329.171227686
46,169.55565701121816,-166.7463684910298,-32.79338274202087,49.0,49.0,144.66519114517467,193.52921799268913,17825680.17900731,23846717.499368068,67.0,67.0,261.4900262778292,286.6237726150114,35317851.252886735,124.0,33.0,297.56387573621333,320.36538253897834,39475500.66715301
47,169.55090093016636,-166.73913924387614,-32.79198811968121,62.0,40.0,256.05139316025674,310.6261374446458,31550715.190937888,38275428.5083825,40.0,62.0,257.2762626406012,316.20215976405564,38962507.34020086,78.0,89.0,341.6037151567883,462.3953056631029,56976462.47709485
48,169.5487805434776,-166.73591593020197,-32.78733735425954,42.0,58.0,155.299915211884,179.1295482455691,19136093.47542299,22072386.67684214,58.0,42.0,173.58841110459142,200.84359982025413,24747997.414274987,38.0,38.0,354.53460478386614,380.26281513486526,46856076.9380989
49,169.55656851168354,-166.747753857643,-32.79412269541373,46.0,67.0,144.66519114517467,150.10205775472255,17825680.17900731,18495612.21027575,67.0,46.0,149.6851321640674,193.52921799268913,23846717.499368068,56.0,68.0,252.9494177522892,327.67246861319126,40375881.59755032
50,169.56060571425476,-166.75388945599542,-32.79323771954998,57.0,57.0,149.50288842084973,220.6430853548662,18421782.418643516,27187694.856728125,32.0,80.0,215.25317379944937,292.7994397068378,36078818.45999079,80.0,32.0,259.68166513533214,294.5413772647549,36293460.431244746
51,169.5588242202667,-166.7511820934939,-32.792103588266755,50.0,56.0,260.2245448897014,277.4316388966398,32064931.966090802,34185194.29146242,24.0,50.0,275.46378213376926,361.69004916719194,44567536.1802392,56.0,24.0,275.79261185877465,386.8781207159642,47671216.507207364
52,169.5635833540885,-166.75841430375124,-32.79248844666034,32.0,32.0,193.8652323134772,292.30593826645736,23888121.266027622,36018009.09199795,70.0,70.0,229.55065551918105,304.889414128019,37568548.06044515,77.0,57.0,263.75064082031025,369.45663717399384,45524537.05097688
