cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
21,259.29006989525925,0.019291676132678803,-62.82566410120001,13.0,22.0,20.0,115.4196745833913,182.17535674758847,230.59574298764213,2.3116158109203897,3.6485931582966575,4.61835269719148,1.28244082870435,2.024170630528765,2.562174922084917,1136701.0012698488,1021395.3278170325,1246092.3440725894,3.788821552355607,4.365390543425133,3.2043919004663612,,,68.03106931386985
22,259.28953233889615,0.0190467361144943,-62.824796648303185,13.0,16.0,21.0,82.9502606390777,152.04910405773194,182.17535674758847,1.6613210417147688,3.045227031221504,3.6485931582966575,0.9216695626564204,1.689434489530358,2.024170630528765,1136701.0012698488,2804252.6612457773,1140079.0260554354,3.788821552355607,4.3043941208796195,1.9665577496037614,,51.79373501273146,
23,259.249017601632,0.0005431725670370411,-62.822520619029376,5.0,2.0,104.0,138.66995539121478,155.9779817752351,218.12025075234882,2.777270535019201,3.123914273095429,4.368494558150526,1.5407772821246115,1.7330886863915038,2.423558341692768,1080479.066069996,850567.6444020037,7030082.330688594,7.7351046230056015,6.524337932338455,12.936848748106534,55.658701584314734,,51.213024617935766
24,259.28467221183615,0.01682258732847379,-62.832602809644364,42.0,12.0,25.0,58.360910443902206,162.53426571135768,172.0217949861891,1.1688475453494849,3.2552229920147013,3.4452384530479474,0.6484545604878034,1.8059362856817551,1.9113532776243265,1209784.5129755347,1930076.8143467847,1954008.409837973,4.994925449589461,7.375911734279726,3.131513451453943,29.900524530491424,44.60716070480968,42.61216241701839
25,259.2844852922057,0.01673772341639606,-62.83175591773502,24.0,14.0,33.0,172.0217949861891,177.09130109406337,185.24045467502688,3.4452384530479474,3.54677010711662,3.709980689119808,1.9113532776243265,1.967681123267374,2.0582272741669696,2099089.8358641732,4600590.362169915,2450067.672865412,5.55194212639791,4.596439688425706,6.8000898964723495,40.535458657517744,64.42150896405732,33.69535915004036
26,259.2785290346407,0.014021323435496924,-62.82492466811843,34.0,38.0,1.0,147.2459196886472,234.0334399941239,294.7670009048881,2.9490292471745567,4.687202611922398,5.903569406938658,1.6360657743183051,2.6003715554902698,3.2751888989432074,1409533.2140947469,734801.8090461574,1134089.455412398,2.654579754199369,2.184292967569188,6.253424512673097,51.00609802898147,55.54468094325755,81.64534652917625
27,259.28666190028855,0.017736661371950357,-62.82331764209446,31.0,16.0,22.0,132.76576124467925,247.59749207892216,399.3256541786032,2.6590218171196,4.9588623386764645,7.997661570588223,1.4751751249408829,2.7510832453213623,4.436951713095596,2133479.8011816777,2804252.6612457773,1021395.3278170325,6.372455045781339,4.3043941208796195,4.365390543425133,,51.79373501273146,
28,259.2773587130563,0.013487991397261208,-62.82238015154689,51.0,11.0,39.0,230.22472150391152,233.3316775157894,256.7522265869619,4.61092190923372,4.673147770351549,5.142212613315071,2.5580524611545767,2.5925741946198864,2.852802517632916,1203355.1529291642,2201395.2077347143,790630.0515571459,3.5457930128470303,5.569132867427514,3.9263466158032267,48.44571304154127,77.95971073070449,
29,259.2828429488657,0.015987522459510718,-62.83230574189302,59.0,24.0,33.0,157.59804041989872,179.1355772676213,181.3862876680369,3.156360675246017,3.587712703270538,3.632789747250978,1.7510893379988777,1.9903953029735737,2.015403196311525,1988517.7780011182,2099089.8358641732,2450067.672865412,3.3587480961919076,5.55194212639791,6.8000898964723495,53.6923953559148,40.535458657517744,33.69535915004036
30,259.2812350724082,0.015254453094381256,-62.83022144122568,50.0,18.0,33.0,164.68526502975402,241.3812615161114,272.84930242401424,3.298303030592452,4.834364180930077,5.464603532790677,1.8298362781083808,2.682014016845687,3.0316589158223857,763735.6525823604,1524807.5995731414,2450067.672865412,5.867064647351208,5.353398098935021,6.8000898964723495,36.73803213750329,35.7442315860878,33.69535915004036
31,259.2860838290849,0.01747299285720514,-62.82271597913176,27.0,16.0,22.0,132.76576124467925,376.9710397064433,527.2628536150997,2.6590218171196,7.5499451786698,10.559977346384366,1.4751751249408829,4.1885671078493765,5.8584761512788965,2244259.9523603343,2804252.6612457773,1021395.3278170325,3.8348007890852736,4.3043941208796195,4.365390543425133,53.936604307847,51.79373501273146,
32,259.2497214705228,0.0008647167684305193,-62.82070781039067,3.0,55.0,120.0,12.812262995897234,85.25134708215136,96.88435436917364,0.25660295631476443,1.7074070129610357,1.940391932302529,0.14235847773219173,0.9472371898016834,1.0764928263241536,7080111.321612504,14069510.01461352,11036168.386760855,8.782123820650172,11.505376933761195,5.852375066507751,79.93457159163398,50.61538604093411,50.780451688794855
33,259.28262261612116,0.01588740118045075,-62.831413877052725,59.0,29.0,25.0,169.42937549449175,181.3862876680369,185.24045467502688,3.3933176873104207,3.632789747250978,3.709980689119808,1.8825486166054672,2.015403196311525,2.0582272741669696,1988517.7780011182,1821483.948351901,1954008.409837973,3.3587480961919076,5.954810937870504,3.131513451453943,53.6923953559148,49.95816703450222,42.61216241701839
34,259.2771531492886,0.013392773767768954,-62.82529305037336,26.0,46.0,38.0,147.2459196886472,165.79213991138784,186.0638610341528,2.9490292471745567,3.3204714302724105,3.726471804394895,1.6360657743183051,1.8421348879043125,2.0673762337128117,2906622.284741289,1064087.6448519288,734801.8090461574,4.072286768771082,3.572627178492476,2.184292967569188,53.3076479353009,,55.54468094325755
35,259.2795637084825,0.014495970239326006,-62.82066293698208,52.0,28.0,61.0,209.63939310394542,402.43815747749807,450.2509606991465,4.1986406341901885,8.059998532317126,9.017589448168591,2.3293265900438427,4.47153508308332,5.002788452212748,1876487.3623067217,5466892.9683873,2265507.0574161345,5.1496695558172165,5.143573904597962,5.971045461438495,,85.17063526658295,63.047467536736804
36,259.27541965572067,0.012600319172222688,-62.827064681056356,44.0,37.0,46.0,145.9883043925494,201.817548022955,245.28202754119133,2.9238418307916194,4.041985360078116,4.912488404125324,1.6220922710283294,2.24241720025506,2.7253558615687967,576137.1843864776,351126.1744839574,1064087.6448519288,3.7203446730910423,,3.572627178492476,,,
37,259.27680546000687,0.0132335325411243,-62.82629256865629,44.0,46.0,36.0,70.50874153436935,121.22403844679717,201.817548022955,1.412143313757022,2.4278651360672017,4.041985360078116,0.783430461492994,1.346933760519971,2.24241720025506,576137.1843864776,1064087.6448519288,755693.1797589541,3.7203446730910423,3.572627178492476,2.352391678648246,,,
38,259.27618206002785,0.012949627446789643,-62.824486114355786,34.0,39.0,26.0,186.0638610341528,218.0465477426771,234.0334399941239,3.726471804394895,4.3670184402955385,4.687202611922398,2.0673762337128117,2.422739419363083,2.6003715554902698,1409533.2140947469,790630.0515571459,2906622.284741289,2.654579754199369,3.9263466158032267,4.072286768771082,51.00609802898147,,53.3076479353009
39,259.27577291962336,0.01276322680637795,-62.823423483634464,51.0,38.0,28.0,203.2249098296454,218.0465477426771,256.7522265869619,4.070171887338514,4.3670184402955385,5.142212613315071,2.2580545536627312,2.422739419363083,2.852802517632916,1203355.1529291642,734801.8090461574,5466892.9683873,3.5457930128470303,2.184292967569188,5.143573904597962,48.44571304154127,55.54468094325755,85.17063526658295
40,259.25041504090586,0.0011815425413639641,-62.82023074843065,9.0,32.0,3.0,57.3017570299069,115.74461337836823,123.02139812280642,1.147634907323782,2.318123658553485,2.4638625087852466,0.6366861892211888,1.2860512597596492,1.3669044235867402,2526112.836266746,2489690.315321517,7080111.321612504,3.805482162682564,3.6189121949796,8.782123820650172,84.69313759606517,53.61390975152712,79.93457159163398
41,259.2531922741006,0.002450206600586548,-62.81940481678791,69.0,80.0,62.0,65.95940218719963,98.50001299707891,101.0339608291396,1.3210295170657858,1.972750211277032,2.0234999113934267,0.7328822465244416,1.094444588856434,1.1225995647682196,251033.7271728055,725508.9874562327,203204.36142189757,2.0038915602595435,6.612195383839147,3.010487067888876,,24.000396534976588,
42,259.28526495700834,0.017093171272817568,-62.832703637822455,24.0,12.0,25.0,58.360910443902206,122.07601396122816,204.57163291878032,1.1688475453494849,2.4449284320501827,4.097143947318863,0.6484545604878034,1.3564001551247598,2.2730181435420067,2099089.8358641732,1930076.8143467847,1954008.409837973,5.55194212639791,7.375911734279726,3.131513451453943,40.535458657517744,44.60716070480968,42.61216241701839
43,259.2807114510594,0.015016215473242275,-62.828531365160295,18.0,50.0,30.0,143.23280385791375,198.6037321513876,344.95677939228983,2.868654891252457,3.9776193184225854,6.908766189175685,1.5914755984212667,2.2067081350154214,3.832853104358784,1524807.5995731414,763735.6525823604,1065352.0454787798,5.353398098935021,5.867064647351208,5.323462923248324,35.7442315860878,36.73803213750329,
44,259.2760860380656,0.012904928523342666,-62.826409726605185,37.0,46.0,36.0,70.50874153436935,110.98012377046024,145.9883043925494,1.412143313757022,2.2227008500214045,2.9238418307916194,0.783430461492994,1.2331124863384495,1.6220922710283294,351126.1744839574,1064087.6448519288,755693.1797589541,,3.572627178492476,2.352391678648246,,,
45,259.26821725301204,0.009311238204440988,-62.826761262152395,73.0,85.0,77.0,187.1513386680275,253.15331906779113,349.56249701914635,3.7482517175817995,5.070133987609496,7.001009125445481,2.0794593185336425,2.8128146563087952,3.8840277446571894,1118812.5298352232,706476.5696647407,552614.6011012004,5.246150819205206,4.294182967126936,1.619993021066365,,,20.736403913264553
46,259.2758749456267,0.012808760586000759,-62.82586910342796,44.0,37.0,34.0,110.98012377046024,121.22403844679717,165.79213991138784,2.2227008500214045,2.4278651360672017,3.3204714302724105,1.2331124863384495,1.346933760519971,1.8421348879043125,576137.1843864776,351126.1744839574,1409533.2140947469,3.7203446730910423,,2.654579754199369,,,51.00609802898147
47,259.2727645067904,0.011390856093376115,-62.81909828674117,53.0,65.0,56.0,135.7354988915686,137.54290462117336,211.17899607496128,2.718499480036376,2.754698054294908,4.2294756766834745,1.5081722099063204,1.5282544957908175,2.346433289721796,1242953.0539774655,2778845.014148898,3585864.236662183,4.807303832141554,5.074421171226641,6.6090824390214875,57.31820574278791,37.84326836458263,55.334622012759475
48,259.2763052331408,0.013008397028110795,-62.81879959646256,66.0,53.0,47.0,230.97672546761268,233.2956735560172,332.4467548268003,4.62598298316796,4.67242668598733,6.658216439447408,2.5664080607512565,2.592174150622417,3.6938528314088974,4062640.382376526,1242953.0539774655,741842.1817592714,4.728034240239714,4.807303832141554,4.380581795305425,58.313496954492095,57.31820574278791,
49,259.2739461612765,0.011926249003290135,-62.82992028255503,64.0,76.0,63.0,259.88469323245573,280.453100945818,307.56555989092413,5.2049493993183304,5.616891788233254,6.159897900463758,2.8876077025828466,3.1161455660646498,3.417395109899162,670290.4042916993,2483511.1939692013,2469628.247059202,2.770130093254182,4.36332556146592,3.664652314998703,,38.14796111068648,68.33976586220345
50,259.28039209579913,0.01486988898929319,-62.82950306534343,18.0,30.0,43.0,156.12460537491654,164.68526502975402,198.6037321513876,3.126850838568353,3.298303030592452,3.9776193184225854,1.7347178374990757,1.8298362781083808,2.2067081350154214,1524807.5995731414,1065352.0454787798,1252550.1897185328,5.353398098935021,5.323462923248324,5.077051105597148,35.7442315860878,,31.83375457340133
51,259.2748797289731,0.012355662099449171,-62.8225042650059,39.0,28.0,61.0,203.2249098296454,230.22472150391152,260.46156027713204,4.070171887338514,4.61092190923372,5.216502845349833,2.2580545536627312,2.5580524611545767,2.8940173364125834,790630.0515571459,5466892.9683873,2265507.0574161345,3.9263466158032267,5.143573904597962,5.971045461438495,,85.17063526658295,63.047467536736804
52,259.2808195400526,0.01507004790825033,-62.81979902734357,35.0,48.0,28.0,209.63939310394542,463.0578303378282,611.8636392936132,4.1986406341901885,9.274084386765765,12.254354968714633,2.3293265900438427,5.145087003753655,6.798484881040161,1013766.1921450292,2657469.021609088,5466892.9683873,3.216985323068153,4.511264820187974,5.143573904597962,60.27952787068319,48.15997345707465,85.17063526658295
53,259.274109110847,0.012004962223035327,-62.819370157374,47.0,56.0,48.0,135.7354988915686,198.04206641530072,233.2956735560172,2.718499480036376,3.966370322957325,4.67242668598733,1.5081722099063204,2.2004674046144563,2.592174150622417,741842.1817592714,3585864.236662183,2657469.021609088,4.380581795305425,6.6090824390214875,4.511264820187974,,55.334622012759475,48.15997345707465
54,259.27785755795304,0.013712421273658595,-62.829710346182395,64.0,71.0,50.0,132.13621445342778,219.12089026828826,237.65634422224446,2.646413305428469,4.388535284607489,4.759761841753902,1.4681801605936442,2.4346765585365406,2.6406260469138307,670290.4042916993,595588.2278131341,763735.6525823604,2.770130093254182,2.0090466553028254,5.867064647351208,,44.774102113999106,36.73803213750329
55,259.2487986208698,0.00044318055657554677,-62.82072296400008,135.0,120.0,151.0,41.12981462581711,47.465449526154345,56.075764720795966,0.8237445663613476,0.95063414442247,1.1230808335401132,0.4569979402868576,0.5273938836239379,0.6230640524532896,9827678.585828142,11036168.386760855,26486568.085232668,4.9597529307624395,5.852375066507751,15.329707833314039,53.17795960845155,50.780451688794855,50.4133381663279
56,259.2727913116791,0.011402695664429207,-62.820143095764806,65.0,60.0,53.0,183.67457964302747,195.98118525902748,198.04206641530072,3.678619471935989,3.925095163566478,3.966370322957325,2.0408286627003087,2.177568725100309,2.2004674046144563,2778845.014148898,2220131.292303021,1242953.0539774655,5.074421171226641,4.7307045764296,4.807303832141554,37.84326836458263,53.65519201515358,57.31820574278791
57,259.2749373731919,0.012376819333869641,-62.83479065365783,87.0,83.0,94.0,111.00758056251514,150.72788590442738,191.1363144085354,2.22325075240902,3.018765782011801,3.828062486076358,1.233417561805726,1.674754287826974,2.1237368267615078,2721760.174619461,5056797.276044747,3622980.9469878767,6.500373436774648,5.969787965527349,5.558251653714873,48.71642690021098,36.703017900523086,38.68306348080652
58,259.2800477346736,0.014711031513120396,-62.83271811551086,59.0,29.0,70.0,186.6860421062904,271.1187624032119,306.4176531929037,3.7389327960655083,5.4299444186668815,6.136907718918165,2.0742893567365623,3.0124306933690264,3.4046405910322686,1988517.7780011182,1821483.948351901,1661732.7753102023,3.3587480961919076,5.954810937870504,3.1475241616406926,53.6923953559148,49.95816703450222,77.71819120983298
59,259.28128380907225,0.015275790380484627,-62.831987191855575,29.0,33.0,58.0,157.59804041989872,169.42937549449175,186.6860421062904,3.156360675246017,3.3933176873104207,3.7389327960655083,1.7510893379988777,1.8825486166054672,2.0742893567365623,1821483.948351901,2450067.672865412,3060404.3415485867,5.954810937870504,6.8000898964723495,4.902638501959951,49.95816703450222,33.69535915004036,58.014295277698494
60,259.2734461323493,0.011701441139416088,-62.82106560891891,61.0,56.0,51.0,132.15477759476872,195.98118525902748,319.41788205168166,2.6467850865063407,3.925095163566478,6.397275240174885,1.468386417719655,2.177568725100309,3.549087578352025,2265507.0574161345,3585864.236662183,1203355.1529291642,5.971045461438495,6.6090824390214875,3.5457930128470303,63.047467536736804,55.334622012759475,48.44571304154127
61,259.27483958634417,0.012337867427339288,-62.82121567040309,60.0,51.0,56.0,132.15477759476872,260.46156027713204,287.60367110568296,2.6467850865063407,5.216502845349833,5.760102823078937,1.468386417719655,2.8940173364125834,3.1955963456187058,2220131.292303021,1203355.1529291642,3585864.236662183,4.7307045764296,3.5457930128470303,6.6090824390214875,53.65519201515358,48.44571304154127,55.334622012759475
62,259.2530015642017,0.002363130489986715,-62.81891256093437,80.0,90.0,69.0,33.42445120488944,37.95719448428309,40.436864885325534,0.6694221774185951,0.760203589420577,0.8098662255838732,0.3713827911654388,0.4217466053809241,0.4492984987258401,725508.9874562327,920941.4284976857,251033.7271728055,6.612195383839147,3.374700362171319,2.0038915602595435,24.000396534976588,43.96820844604146,
63,259.2746375776769,0.012241353071018066,-62.831409081668994,67.0,76.0,95.0,228.00801450690537,229.82132397516983,232.34948605450862,4.566525882638142,4.602842696492122,4.653476520025789,2.533422383410064,2.5535702663907807,2.581660956161212,1000468.1718990271,2483511.1939692013,2055107.5370884282,5.029892233046854,4.36332556146592,6.268431049372548,66.40827410937521,38.14796111068648,42.73348724145416
64,259.27655589794375,0.013118157165607571,-62.82943778988797,54.0,49.0,71.0,132.13621445342778,259.88469323245573,301.87602867744727,2.646413305428469,5.2049493993183304,6.045948434246057,1.4681801605936442,2.8876077025828466,3.3541780964160868,885321.7960881573,1849071.2505243123,595588.2278131341,4.813280781723326,3.8866698230600996,2.0090466553028254,,39.85912611056578,44.774102113999106
65,259.2714943560444,0.010810518807916818,-62.81945373063751,47.0,56.0,78.0,137.54290462117336,183.67457964302747,196.19194197480562,2.754698054294908,3.678619471935989,3.9293161818478826,1.5282544957908175,2.0408286627003087,2.1799104663867324,741842.1817592714,3585864.236662183,5837758.386187996,4.380581795305425,6.6090824390214875,7.039913329731457,,55.334622012759475,41.52277532943655
66,259.27429324618646,0.012089588410676259,-62.81811999722411,81.0,48.0,47.0,221.89423529161357,230.97672546761268,242.9749516897347,4.444079612107946,4.62598298316796,4.8662824774973945,2.4654915032401545,2.5664080607512565,2.699721685441501,2411726.0292243245,2657469.021609088,741842.1817592714,3.0404742604776307,4.511264820187974,4.380581795305425,51.60731011253901,48.15997345707465,
67,259.2756424291723,0.012699733401833562,-62.832439903821324,88.0,63.0,70.0,177.4341124784889,228.00801450690537,256.4325273577597,3.5536359055107147,4.566525882638142,5.135809703277157,1.9714901386498809,2.533422383410064,2.849250303975113,3001100.63771542,2469628.247059202,1661732.7753102023,5.503620250784041,3.664652314998703,3.1475241616406926,48.93009555652355,68.33976586220345,77.71819120983298
68,259.2704486822838,0.010329469178499674,-62.82910624749045,72.0,77.0,89.0,139.45898882066615,223.42944533006767,252.07141518034302,2.7930732320675857,4.474826673306862,5.048465704960559,1.5495443202296266,2.482549392556313,2.8007935020038164,1465796.656032318,552614.6011012004,422583.21855736227,4.498797924366808,1.619993021066365,2.0777834483517914,26.169381119131124,20.736403913264553,
69,259.25324364078443,0.002473698098714089,-62.81907930797299,62.0,80.0,41.0,40.436864885325534,56.60192251640314,65.95940218719963,0.8098662255838732,1.1336186788750158,1.3210295170657858,0.4492984987258401,0.6289102501822581,0.7328822465244416,203204.36142189757,725508.9874562327,778285.9720458954,3.010487067888876,6.612195383839147,5.750762964671891,,24.000396534976588,75.96935865305358
70,259.27775999729755,0.013666984528215298,-62.8316187860738,71.0,67.0,63.0,167.40591485657131,256.4325273577597,291.2336395753847,3.3527919830032884,5.135809703277157,5.832803534963567,1.8600657206285733,2.849250303975113,3.2359293286153914,595588.2278131341,1000468.1718990271,2469628.247059202,2.0090466553028254,5.029892233046854,3.664652314998703,44.774102113999106,66.40827410937521,68.33976586220345
71,259.27792742348475,0.013743817949741777,-62.83079406265943,70.0,54.0,64.0,167.40591485657131,219.12089026828826,301.87602867744727,3.3527919830032884,4.388535284607489,6.045948434246057,1.8600657206285733,2.4346765585365406,3.3541780964160868,1661732.7753102023,885321.7960881573,670290.4042916993,3.1475241616406926,4.813280781723326,2.770130093254182,77.71819120983298,,
72,259.26926862926683,0.009790459216382554,-62.82953705309507,89.0,68.0,84.0,135.44119716920144,139.45898882066615,183.18458057767327,2.7126052291899705,2.7930732320675857,3.668805810695846,1.5049021907689075,1.5495443202296266,2.035384228640817,422583.21855736227,1362473.780396561,1293478.1271639282,2.0777834483517914,2.982414834129284,3.241859361769171,,37.000948316238635,35.16832711471157
