cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_NOEX_nn,RAD_NODC_NOEX_nn2,RAD_NODC_NOEX_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
29,55.503413433680784,0.0003926123267318853,-47.225023162900285,50.0,4.0,22.0,70.97796581349427,73.05647089211199,83.96192102715025,1.7138693650443084,1.7640579853929443,2.0273864237927244,1.0754237244468845,1.1069162256380618,1.2721503185931873,436500.81345163414,394158.14910494204,1607060.749133048,3.373308342389528,4.171357323552349,6.20621690049727,21.820727239552784,,,46.89490903677552,37.17367842071664,73.81017598967125,67.94068985641121,51.64846126776619,83.39107835708478
30,55.50526421389984,0.0016495259960439275,-47.224690879949435,59.0,17.0,24.0,100.72030514072836,127.0177732991723,133.24504002435057,2.4320427253747883,3.0670345082249035,3.217401196617849,1.5260652294049772,1.9245117166541283,2.0188642427931933,611823.5840726913,2262733.331617127,3266267.1399990837,7.94556468241387,5.394439742637218,6.990599023052498,42.84937277432617,47.36353043759367,37.03826368078272,68.61144340474699,78.32356867862735,72.4475080533331,89.2425587841885,94.04758924318926,81.37668822463975
31,55.501636872797576,-0.0008138955136891889,-47.22447572991952,49.0,51.0,42.0,73.98035091430265,113.21197950686708,160.39650569857437,1.7863664532232244,2.7336729252383654,3.873014029442331,1.1209144077924658,1.7153330228313215,2.43025008634204,561312.983948553,170941.1222846688,1338808.5462521226,3.2866056332706077,2.485385963675034,6.738721341353607,51.98645279099407,,50.13184041189868,81.73568409382817,45.379562523236295,75.77635324330977,99.9950747512818,49.67980062337493,97.60499553689395
32,55.50269330112238,-9.644728062488392e-05,-47.22358672628978,37.0,74.0,51.0,59.036491873050565,157.49037303918266,174.89714683524562,1.4255245790894768,3.8028411007228207,4.223153742983083,0.8944923011068282,2.3862177733209524,2.6499567702309976,379975.2091378947,809920.7122153906,170941.1222846688,2.253886723782027,5.023305226966851,2.485385963675034,46.43421544949714,20.441519767847886,,63.51375875156489,53.16480015744053,45.379562523236295,93.35840304267407,63.05975473015865,49.67980062337493
33,55.50590973868641,0.002087894847042602,-47.22527995244806,88.0,64.0,17.0,28.257206815522707,48.90920010103756,57.10560193329468,0.6823126099457516,1.180985940654469,1.3789003475115311,0.42813949720489003,0.7410484863793578,0.8652363929287084,546686.9740830335,412272.8793367045,2262733.331617127,3.3411243916519417,4.650918254236084,5.394439742637218,,35.384257894181616,47.36353043759367,49.6615114799726,61.57770208967698,78.32356867862735,68.70589213093015,80.74532394721838,94.04758924318926
34,55.50343990182638,0.00041061259977266375,-47.22176891505722,45.0,61.0,75.0,81.78566481412166,111.71552566655495,126.86052330944034,1.9748374557961244,2.6975388044063724,3.063237471539415,1.2391767396079054,1.6926594797962893,1.9221291410521288,1935579.757718773,1210343.374078588,441048.1857697803,6.014486484432541,5.243480701808832,2.9275593709694556,49.769987017978536,41.275331744857546,9.471798336372194,83.99806249125011,70.74149511299213,52.95864333734431,98.13470910453844,87.42624821736668,65.29327467649901
35,55.501333278129366,-0.001020054919863543,-47.22552415812246,65.0,87.0,23.0,14.643601413133705,110.85880140089412,111.05664790634798,0.3535917036821861,2.676851912969325,2.6816292133722337,0.2218727486838443,1.6796788091044583,1.682676483429517,620331.9444483798,495796.93669212627,300300.94516991434,6.376208178642365,4.560886166303684,3.333751051629605,,,,56.833114738605225,55.354435808460366,56.09545160715541,63.93668763265351,64.68151221635269,69.39901469514132
36,55.502388488376646,-0.0003034469202357167,-47.22544600944196,27.0,69.0,50.0,35.43467995145297,45.72613478717576,102.22810207228588,0.8556234562782997,1.104126057931179,2.4684507421457185,0.5368890901735304,0.6928202240481185,1.548910637458879,1378385.596532554,314523.9387986602,436500.81345163414,5.194654220478544,2.606325363995504,3.373308342389528,52.93032811076908,,21.820727239552784,82.4539505321256,45.91245115294363,46.89490903677552,101.21934246097125,52.28983387519845,67.94068985641121
37,55.50229494492526,-0.00036698706862247423,-47.22351725103172,32.0,74.0,49.0,59.036491873050565,104.3299251510467,166.30057240601138,1.4255245790894768,2.5192024105564017,4.015576569000636,0.8944923011068282,1.5807564416825275,2.5197056425153272,862882.8840579321,809920.7122153906,561312.983948553,6.628802187219438,5.023305226966851,3.2866056332706077,82.16072107861538,20.441519767847886,51.98645279099407,69.98219954581769,53.16480015744053,81.73568409382817,143.7712080017427,63.05975473015865,99.9950747512818
38,55.50331942538353,0.0003287662670292858,-47.225518216590785,10.0,26.0,54.0,20.220655637255163,22.924848547215692,33.21736637603075,0.488258036710506,0.5535548275163963,0.8020830967306823,0.30637357026144224,0.34734619010932904,0.5032934299398606,811443.7862835944,1097422.0642994216,123919.76390479796,4.330187062136056,3.9172885236181356,10.429771625630528,50.09447794924414,44.92496976231296,64.1916527320067,79.52210513526042,76.32479375965241,72.77864416466446,97.578495981941,92.2199428919675,122.26368715537275
39,55.50040906757284,-0.001647704080384004,-47.22537981782396,66.0,47.0,12.0,17.744008589659426,19.279343649100877,20.752522360930385,0.4284556817929919,0.4655286479353226,0.5011007559057656,0.2688486149948401,0.2921112674106197,0.3144321569837941,747531.6030474114,624144.2009261941,616734.1679318784,4.352938472285708,3.4918993438518253,5.823936458390087,25.02198064320445,36.61807434415935,,59.54850645019614,62.15145395799369,43.554485418520926,72.51890381280062,81.26399525001335,61.21817538313001
40,55.504540526584776,0.0011580391901632652,-47.225268660187346,48.0,28.0,18.0,5.824654829229572,17.566992331867187,30.147310329242412,0.1406450207379154,0.4241813589398674,0.7279519921371039,0.08825234589741787,0.2661665504828365,0.4567774292309462,1174706.7776541174,954854.9076406218,2031948.152856498,2.2449078959393853,,5.731711661034328,52.09788141644883,38.88735584392215,41.93379598905244,76.19423407639809,77.2950938794854,84.32190211183905,101.87595053249522,89.83701163504603,91.30925185232235
