cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3
56,169.57712684266383,142.53253246210443,-32.80519963981621,59.0,58.0,62.0,171.9898294663434,420.09090504670365,425.28989904618163,2.250139903218439,5.496041895952425,5.564060242683259
57,169.57148437174385,142.52148341701354,-32.80913246885786,39.0,48.0,31.0,189.65635167190365,248.03579260593568,251.8409392949905,2.4812707014125546,3.2450478967318603,3.2948305637023934
58,169.5763474389862,142.53522682492908,-32.80311073553054,62.0,47.0,53.0,113.11849739562058,193.5112276811679,220.3344402577507,1.4799273048398847,2.531703976201645,2.8826315929005775
59,169.5764897760111,142.5335422101926,-32.804235978013956,56.0,58.0,62.0,171.9898294663434,249.62662077085,272.2092638977471,2.250139903218439,3.2658606735346765,3.561308994971129
60,169.56953589375368,142.51387530464328,-32.81285542174354,73.0,93.0,70.0,98.12290193353682,202.94866440000362,234.65186678099826,1.2837401940877398,2.6551737942196154,3.069946231395883
61,169.56119851629015,142.5072234644242,-32.8126338899178,84.0,92.0,100.0,308.0053404296712,317.61394111060054,331.8413436923641,4.02962843242313,4.155337585536058,4.341474442393887
62,169.5784111711034,142.53572297683272,-32.80388312905479,58.0,53.0,59.0,113.11849739562058,245.18938639134888,272.2092638977471,1.4799273048398847,3.2078084144666366,3.561308994971129
63,169.5651807424579,142.5119459090289,-32.8117761269297,68.0,55.0,60.0,101.88793441004314,145.47371517167133,272.409967754113,1.332998047523533,1.9032300479213369,3.5639347999814595
64,169.57710873964712,142.5289955733076,-32.80739580468637,67.0,65.0,81.0,91.69608089144369,219.26857866346847,225.80698487059007,1.199658207830014,2.8686869444754692,2.954228797477739
65,169.57472406687563,142.52722191068676,-32.807251971996294,67.0,64.0,72.0,195.24486326029165,219.26857866346847,239.37950278716067,2.5543850998839552,2.8686869444754692,3.131797809819827
66,169.55156368561433,142.50454074678422,-32.8092570304198,61.0,71.0,52.0,531.4229858206351,629.8393616948352,695.6033163659274,6.952597543661723,8.24017725213523,9.10056591033685
67,169.57784854392347,142.5286032898713,-32.80802817633223,64.0,65.0,81.0,91.69608089144369,195.24486326029165,247.27639829871873,1.199658207830014,2.5543850998839552,3.235112754414156
68,169.5659051987638,142.51147017458882,-32.81245244166796,63.0,75.0,55.0,101.88793441004314,224.3819543703818,244.87378282984758,1.332998047523533,2.9355851485958766,3.203679378642045
69,169.57354268384432,142.51959424809658,-32.81138922063801,83.0,51.0,88.0,168.08065458722777,283.3734531727335,292.3737221606429,2.1989962372734797,3.7073698862033404,3.825120246513788
70,169.5711016942392,142.51574775540715,-32.81250843970875,54.0,73.0,60.0,75.65314973912757,199.5354385970126,234.65186678099826,0.9897688227284559,2.6105186212838936,3.069946231395883
71,169.5603917970182,142.5093954922435,-32.810856656231834,52.0,75.0,68.0,200.8251923303387,309.84370751704927,322.51796723711266,2.627392446612326,4.053679756579378,4.21949687279118
72,169.57477658754937,142.5255859485212,-32.80829968207135,65.0,79.0,48.0,239.37950278716067,297.59461505732173,311.42415784153377,3.131797809819827,3.893425096130176,4.074356760279024
73,169.571292274208,142.51442036894233,-32.81343596673109,60.0,76.0,70.0,98.12290193353682,167.68285314023663,199.5354385970126,1.2837401940877398,2.1937918079638505,2.6105186212838936
74,169.58646143202407,142.53006253821783,-32.81163200010822,89.0,85.0,87.0,185.4813295949262,321.2466981414781,359.66144381785045,2.426648961270279,4.202864881651404,4.705444321299658
75,169.56567001971143,142.50987218954646,-32.81332560971065,84.0,108.0,68.0,151.11907351793795,214.13491327531426,224.3819543703818,1.9770881715226956,2.8015232908135084,2.9355851485958766
76,169.5738671077584,142.5144019599261,-32.814796680716576,73.0,93.0,60.0,167.68285314023663,192.566171483292,247.8489430189847,2.1937918079638505,2.5193398226454575,3.242603346883751
77,169.545153586333,142.489896962626,-32.815029520219205,82.0,103.0,110.0,649.6676781183585,1135.2625015388337,1224.948747042056,8.499590765926415,14.852619269792363,16.025982836712682
78,169.56215408954952,142.50429851871948,-32.81495849038288,104.0,107.0,92.0,260.55224356191405,301.53109048877974,310.5854430050553,3.408800403668527,3.944925934719565,4.063383868877031
79,169.5802048191183,142.526925875143,-32.810309039299014,85.0,80.0,72.0,142.39062030104552,188.8825370055776,297.59461505732173,1.8628939721468052,2.4711468977911513,3.893425096130176
80,169.5805269105029,142.52570660408955,-32.811238079845694,79.0,85.0,94.0,188.8825370055776,217.9766941485806,328.67241200424274,2.4711468977911513,2.851785242169473,4.300015365051116
81,169.5807244441482,142.53059222834602,-32.80829520673889,64.0,67.0,89.0,225.80698487059007,247.27639829871873,258.76248249595346,2.954228797477739,3.235112754414156,3.3853849912325678
82,169.55634096641396,142.49401133085377,-32.81832653157788,103.0,110.0,109.0,571.2273499115618,580.8203086625306,640.6342617751144,7.473357336500266,7.598861846519607,8.381406739351188
83,169.57579697692927,142.51933965070262,-32.81272931713903,69.0,88.0,99.0,168.08065458722777,307.70688316932245,351.4074771546519,2.1989962372734797,4.025723721353878,4.597457821130865
84,169.56657892519556,142.50910348485175,-32.81428121695583,100.0,75.0,108.0,145.64936809039642,151.11907351793795,178.4762521090503,1.9055281119566725,1.9770881715226956,2.3350016561650024
85,169.58279814323134,142.5274733845587,-32.811326680823264,79.0,80.0,87.0,142.39062030104552,217.9766941485806,256.35342957843943,1.8628939721468052,2.851785242169473,3.3538673944334856
86,169.57334837613385,142.51101668530188,-32.81663548935686,95.0,108.0,116.0,207.79952167628886,217.8337225330683,336.52901303541626,2.7186374743456714,2.849914747047232,4.402803137669787
87,169.5870464115403,142.52773313266695,-32.81339085107278,85.0,101.0,74.0,256.35342957843943,301.446492109448,359.66144381785045,3.3538673944334856,3.943819135615963,4.705444321299658
88,169.57785278907937,142.5217952807997,-32.8122755099909,94.0,90.0,69.0,223.21024520277123,279.80459295664497,292.3737221606429,2.920255698237166,3.6606785509880737,3.825120246513788
89,169.58504467565143,142.53088929941842,-32.81037408810754,74.0,81.0,67.0,185.4813295949262,258.76248249595346,403.6124514817915,2.426648961270279,3.3853849912325678,5.280454578814019
90,169.58293693876035,142.5231726066534,-32.81408088003746,94.0,88.0,101.0,165.75906818740327,279.80459295664497,300.8501150073656,2.1686229633815106,3.6606785509880737,3.9360167445157153
91,169.583254364988,142.51977476729905,-32.81636555069011,98.0,106.0,99.0,177.64062085839765,184.38389045248346,418.7215268037167,2.324069107261942,2.4122911843399435,5.478126344569504
92,169.56556083965975,142.5068095099333,-32.81517804472283,100.0,104.0,116.0,179.76961582509887,183.0280698312294,222.4712987873996,2.3519227108336755,2.3945530070828562,2.910588075327561
93,169.57103561326008,142.5129502183006,-32.814218123414456,76.0,60.0,73.0,192.566171483292,202.94866440000362,205.19452519109564,2.5193398226454575,2.6551737942196154,2.684556351309125
94,169.58089342664283,142.52353362877054,-32.812785003559256,90.0,88.0,80.0,165.75906818740327,223.21024520277123,328.67241200424274,2.1686229633815106,2.920255698237166,4.300015365051116
95,169.57527474457655,142.5127025759558,-32.81659374790074,86.0,102.0,112.0,207.79952167628886,236.54235774892695,280.21528427760114,2.7186374743456714,3.0946794913613673,3.6660516182912763
96,169.56233210515137,142.5004375610116,-32.81745908315757,109.0,115.0,118.0,223.5987741433477,268.7095537723899,276.13926892927924,2.9253388155090354,3.515522349172373,3.6127251814324928
97,169.5587974554342,142.48574029301113,-32.82476990257762,117.0,113.0,122.0,110.56240819518335,204.8393095396753,425.4173762023021,1.4464860349465678,2.6799090712112923,5.565728024066759
98,169.58606801444165,142.52104464635866,-32.81704802086716,106.0,91.0,90.0,115.1422823472452,177.64062085839765,449.91657537945093,1.5064044476413703,2.324069107261942,5.886250614480669
99,169.57618570463848,142.51701554100202,-32.81438208661525,70.0,76.0,73.0,278.7565765092201,326.0728574504446,340.36591783819574,3.646967370304327,4.266005438706959,4.453001295481637
100,169.56717780529488,142.50826714078883,-32.815116507876084,116.0,84.0,92.0,128.09665307482058,145.64936809039642,179.76961582509887,1.6758862512203805,1.9055281119566725,2.3519227108336755
101,169.58665994014862,142.52557135657543,-32.814536109304186,90.0,87.0,94.0,300.8501150073656,301.446492109448,331.0638341476002,3.9360167445157153,3.943819135615963,4.331302298743097
102,169.57925582033718,142.51426956462407,-32.81770265914401,112.0,95.0,105.0,43.675877847048135,236.54235774892695,340.54347178141103,0.5714107389761033,3.0946794913613673,4.455324230586824
103,169.56587293692797,142.49465857727535,-32.82291694932248,135.0,110.0,127.0,365.88290563789104,524.5382177672581,526.6709555317021,4.786839596479943,6.86252424473832,6.890426815266861
104,169.56670156463593,142.50589318989375,-32.816347100600275,92.0,78.0,119.0,183.0280698312294,260.55224356191405,279.6465887889292,2.3945530070828562,3.408800403668527,3.6586113852506856
