,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
53,54,169.56428223980927,-32.80130940576976,-32.69184135274095,47.0,51.0,0.0009624375766010252,0.0010000603618049197,6794.809235732118,7060.42609711882
54,55,169.560459335268,-32.80123657268018,-32.68129380862402,56.0,56.0,0.0019127993219856753,0.0006122348504890244,13504.363103767613,4322.378009420153
55,56,169.56104312523578,-32.79941503747061,-32.68110936138041,44.0,44.0,0.0009735987972378347,0.00036950120838994603,6873.6074527893425,2608.67851008999
56,57,169.5570396342483,-32.795932413548854,-32.66623574787792,35.0,27.0,0.0011271190024701285,0.0013630603016221991,7957.460092944841,9623.20565145779
57,58,169.57994572258917,-32.78571041517315,-32.71420451520793,64.0,94.0,0.005026075418664863,0.00433572168332949,35484.09216817959,30610.194836214214
58,59,169.56511537189243,-32.80576118130242,-32.69849800004992,72.0,72.0,0.0009504731820527884,0.0006040893526839032,6710.340610906174,4264.870795382087
59,60,169.5683787574059,-32.80517832459528,-32.70639301551565,46.0,84.0,0.0018613539704424753,0.001215973702235024,13141.158924816347,8584.774268200696
60,61,169.55940575550878,-32.799205009813754,-32.67629903504793,56.0,28.0,0.001650785037357337,0.002074090094709595,11654.542269284122,14643.075949969354
61,62,169.57371470494618,-32.79202407929785,-32.70638172596319,75.0,75.0,0.0009878837346573477,0.0005202074435486693,6974.459110153714,3672.6645216870966
62,63,169.5722625442501,-32.79161837797881,-32.70250330937993,62.0,75.0,0.0015077679687351562,0.003782978320163495,10644.841772995027,26707.826723890517
63,64,169.57562001158135,-32.788269645211834,-32.70708979557298,69.0,69.0,0.0009414704494187772,0.0006920428079755639,6646.781319025195,4885.822184708474
64,65,169.56209796950202,-32.80297113897249,-32.6875707101863,88.0,88.0,0.0014150025516248537,0.0012537977737493056,9989.917933504372,8851.812210927214
65,66,169.55890779664918,-32.80269140709281,-32.67835556563212,55.0,31.0,0.0021269262455183356,0.0016636925733628492,15016.099171655753,11745.669472744463
66,67,169.57102584762103,-32.80039350282681,-32.7082410533249,68.0,76.0,0.0028297972670477344,0.0026667236581117888,19978.368543434706,18827.068873678076
67,68,169.57345742364308,-32.798946025496555,-32.712675031406725,80.0,82.0,0.0022280942799994,0.0022056112884866665,15730.345489303185,15571.615570509775
68,69,169.5755119465287,-32.7892048930675,-32.707773348930424,64.0,64.0,0.0009414704494187772,0.0006920428079755639,6646.781319025195,4885.822184708474
69,70,169.56551671670113,-32.8080047719356,-32.70179553751688,83.0,46.0,0.0013722906953824198,0.001319879191885075,9688.372230876781,9318.347019184537
70,71,169.5519631794251,-32.798792415454905,-32.65387049711438,74.0,74.0,0.0012394483849418553,0.0020077349338507686,8750.505526767693,14174.608518102912
71,72,169.56465587758325,-32.80659320549055,-32.698105840738094,59.0,59.0,0.0009504731820527884,0.0006040893526839032,6710.340610906174,4264.870795382087
72,73,169.56842182950606,-32.80184614148274,-32.70318039746298,50.0,50.0,0.0014273890742541621,0.002437930734724194,10077.366782558527,17211.790847653294
73,74,169.55221803575182,-32.80000537899585,-32.655861990980135,71.0,71.0,0.0012394483849418553,0.0020077349338507686,8750.505526767693,14174.608518102912
74,75,169.57392013322033,-32.79105779078122,-32.70590379813547,62.0,62.0,0.0009878837346573477,0.0005202074435486693,6974.459110153714,3672.6645216870966
75,76,169.56838685667773,-32.807396026965364,-32.7086246440833,84.0,132.0,0.001290048487849056,0.0019608578493161347,9107.74225039717,13843.656303970725
76,77,169.55208969725018,-32.80260252960811,-32.658053217056974,74.0,74.0,0.002600319609926142,0.002194981205118084,18358.25629728708,15496.56718253584
77,78,169.56396847407507,-32.80789641626009,-32.69756447081793,86.0,72.0,0.0008148736625860901,0.0008749885562208996,5753.008011230351,6177.419156852304
78,79,169.57369830250948,-32.80136110896737,-32.71565550687071,93.0,93.0,0.0012578824505850418,0.0006255945302501846,8880.650029153783,4416.697347769497
79,80,169.5753547886343,-32.80011410520732,-32.7182919964196,79.0,94.0,0.0020733944774781444,0.0018216906518550907,14638.164892355115,12861.135897858965
80,81,169.54334854991103,-32.80003990418397,-32.627368266455804,85.0,85.0,0.0008904579339718776,0.0031813402205736387,6286.632962889044,22460.26177521214
81,82,169.57553577886452,-32.793323416827874,-32.71193668140205,62.0,68.0,0.0022370937023211894,0.0022056112884866665,15793.881410380069,15571.615570509775
82,83,169.56573046700117,-32.80936031336317,-32.70370978754794,95.0,113.0,0.0012754534463108116,0.0012538480385095375,9004.701257972298,8852.167080131574
83,84,169.56720091021825,-32.807903723820026,-32.706090909496055,76.0,60.0,0.001290048487849056,0.001215973702235024,9107.74225039717,8584.774268200696
84,85,169.54415624184247,-32.80041480293838,-32.63044536888226,81.0,81.0,0.0008904579339718776,0.0031813402205736387,6286.632962889044,22460.26177521214
