,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
92,93,169.5518812690246,-32.80818050904237,-32.6629646550936,92.0,92.0,0.0011700747849794281,0.000938644129523757,8260.727915002546,6626.827500728077
93,94,169.5775753850981,-32.80838671127885,-32.731606032485345,78.0,78.0,0.0008164442093578433,0.0008682659571039874,5764.096071349061,6129.957607471575
94,95,169.57903243882475,-32.80779546591811,-32.73424991368273,78.0,113.0,0.0014979829136334843,0.002154798092179806,10575.75928453713,15212.874407490895
95,96,169.5753485307043,-32.808021888697745,-32.726165559964144,79.0,69.0,0.0011340724062070355,0.001299872416125982,8006.551122929527,9177.099183470136
96,97,169.5663327412879,-32.81311478518144,-32.709030925512096,91.0,117.0,0.0006658885555601016,0.0009466829701366246,4701.173164151869,6683.581714994935
97,98,169.57392188908796,-32.81482199824657,-32.72961044280765,104.0,136.0,0.0008153905731836608,0.0007252868462520525,5756.657400019622,5120.525093038244
98,99,169.56225991437066,-32.81495901288009,-32.69996134998149,102.0,83.0,0.001798356659870499,0.0017179170989918508,12696.397915782929,12128.494620582462
99,100,169.54506123160738,-32.814910102720084,-32.64787152825422,115.0,4.0,0.007134759071377045,0.01076563618730924,50371.39863566775,76005.39086638858
100,101,169.56536118317908,-32.813513064153256,-32.70687527411846,97.0,81.0,0.0010500244274413838,0.0008337818345239415,7413.17239765329,5886.499704029648
101,102,169.56135091735223,-32.81340730056893,-32.69590664742644,82.0,82.0,0.0014369950575787624,0.0024821027225064443,10145.185024280547,17523.64507886844
102,103,169.5803547620151,-32.810860394492906,-32.74018281311704,119.0,128.0,0.0018244595537380704,0.0011723638539064935,12880.684344994364,8276.888741496647
103,104,169.5744785588172,-32.81541780073011,-32.73151522313473,98.0,110.0,0.0008153905731836608,0.0007671880114538862,5756.657400019622,5416.347316965586
104,105,169.56673851272214,-32.8143663027786,-32.71133548243303,117.0,137.0,0.0009432446253628523,0.0013663217597389575,6659.307001088847,9646.231545575482
105,106,169.56990193697905,-32.813261499905224,-32.71828971595678,73.0,143.0,0.0010490721869004429,0.0008048570594862371,7406.449579488734,5682.290793918543
106,107,169.55641584300088,-32.818326024218436,-32.68671559636878,116.0,84.0,0.006259980004549255,0.0027737747190837666,44195.458473918814,19582.84935801473
107,108,169.57640821665973,-32.81039874339114,-32.7309726401137,94.0,78.0,0.002326060056064249,0.0011670218105229843,16421.983862715377,8239.173915514746
108,109,169.5725872471692,-32.81447173478362,-32.726077826821395,140.0,147.0,0.0011210039868453272,0.0010244875005069407,7914.288082983648,7232.881694957357
109,110,169.57520263022215,-32.81397831581003,-32.73176879372734,126.0,104.0,0.0011934948322646832,0.0007671880114538862,8426.073447496341,5416.347316965586
110,111,169.57593168438015,-32.81273176114947,-32.73220896058454,110.0,110.0,0.001444097810767841,0.0008516259903723834,10195.330461389018,6012.479443298597
111,112,169.58689628504663,-32.81334509610292,-32.75604279911082,133.0,133.0,0.0011337435281996392,0.0010506946896040802,8004.229244216128,7417.904448483574
112,113,169.57784939761993,-32.812227047142265,-32.73605090461157,127.0,127.0,0.0012426341285642786,0.00047497309298193564,8772.996876559711,3353.310009274287
113,114,169.58301633852415,-32.81150152463324,-32.74643557795379,119.0,121.0,0.0021756469678065617,0.001586115676786808,15360.067468222807,11197.976587356598
114,115,169.54806237118845,-32.82138296516428,-32.664090443934235,100.0,92.0,0.007134759071377045,0.0037501810295410393,50371.39863566775,26476.277853972657
115,116,169.5625915508961,-32.81730231446934,-32.70320499041245,99.0,88.0,0.0023666527255130163,0.002449772880810829,16708.56810670094,17295.396398347326
