,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
37,38,169.55817021651706,-166.75018815900216,-32.79408742378346,63.0,63.0,0.0009698054054746846,0.0012509697557075638,119.499658881423,154.14479877523553
38,39,169.55866112139174,-166.75093422269316,-32.792299427046686,27.0,19.0,0.0012717405251192171,0.0017598774866021136,156.70417805419754,216.85253364731673
39,40,169.55083526836316,-166.73903943084215,-32.79214146976337,33.0,3.0,0.005105460889209193,0.006794193604558386,629.0961374816455,837.1821950421852
40,41,169.56206029692177,-166.75609990190924,-32.79150529028012,58.0,18.0,0.0009462724093535585,0.0009661142634198701,116.59991735280578,119.044835456081
41,42,169.56530140106153,-166.7610248836908,-32.78860836697422,21.0,21.0,0.0016303248692867208,0.0023442887181201987,200.8890285059865,288.8638283035894
42,43,169.5674026088012,-166.76421749963976,-32.7880183880969,31.0,31.0,0.0014188002066359518,0.0016946785825830042,174.82490792150418,208.81870877302384
43,44,169.56294702207856,-166.7574473611452,-32.79812746632489,54.0,54.0,0.0010463698553993678,0.0011178657364065026,128.9339490975774,137.7436890140069
44,45,169.56538354595762,-166.7611496999336,-32.79716110156631,81.0,81.0,0.0006396656824570257,0.0006442496477628311,78.81976159367012,79.38459891801963
45,46,169.5653086442239,-166.76103588943,-32.79519936636628,56.0,56.0,0.0012333498093847904,0.0012408761950929504,151.97366468669145,152.90106777153497
46,47,169.5555548766769,-166.74621325700974,-32.79445380213072,64.0,33.0,0.001101217663243592,0.001218373431733029,135.69230937354484,150.12827177532807
47,48,169.561665050461,-166.7554992778254,-32.79351241878035,35.0,35.0,0.0007790084645744958,0.0009924301319315246,95.98961323259336,122.28748320021464
48,49,169.5729003079248,-166.77256988162324,-32.78169968470086,23.0,117.0,0.006589362546915378,0.008415017310470767,811.9428621012848,1036.9004878770766
49,50,169.56066268504148,-166.7539760330054,-32.798001493119656,65.0,65.0,0.0009981897478950077,0.0012140869587755098,122.99718448568781,149.60009153077968
50,51,169.5564601535268,-166.74758916874305,-32.79549506458224,91.0,91.0,0.0005636098781832816,0.0008014031243716273,69.44814681883173,98.74908868139522
51,52,169.55843445925615,-166.7505897491618,-32.795759533708264,25.0,61.0,0.0008932244850872645,0.0010358353852238896,110.06333917082826,127.63588911012042
52,53,169.55915489168532,-166.75168463035823,-32.794299398072305,63.0,63.0,0.0005536643936047617,0.0006479955112781112,68.2226617804576,79.84616513508279
53,54,169.562603224179,-166.7569249332305,-32.799115744058405,80.0,80.0,0.00042163546613702835,0.0005815857749839116,51.95402509746055,71.6631412121776
54,55,169.5664420613408,-166.76275804949313,-32.799053939943626,66.0,66.0,0.0007706960012707749,0.0009663885986643272,94.96534947447088,119.07863911189351
55,56,169.5651893611479,-166.76085464255013,-32.79642693440924,45.0,45.0,0.000759413691504264,0.0007912397070848113,93.57514050999033,97.49674992148739
56,57,169.56511404142296,-166.76074019627265,-32.791596146376975,75.0,75.0,0.001335045659598764,0.0018677033880180123,164.50465218338195,230.13886755001863
57,58,169.56141490480687,-166.75511914811366,-32.790813263914494,29.0,41.0,0.0008743615371402851,0.001200324330443682,107.73904211861831,147.90425710700654
58,59,169.55711189407776,-166.74857971328925,-32.79790244110449,73.0,74.0,0.001684219354751235,0.0017710636795907617,207.52992016553227,218.23089907895806
59,60,169.5676988741785,-166.76466763522612,-32.79743710805741,72.0,66.0,0.0011155730422747266,0.001538698404342532,137.4611826832316,189.59879312110334
60,61,169.55849980231187,-166.7506890555864,-32.79679059780875,73.0,73.0,0.0006871372012082095,0.000736211400278589,84.66921372636152,90.7161485193461
61,62,169.56132194201456,-166.75497787803252,-32.79567335985117,67.0,67.0,0.0010728311690467514,0.0011713744868260662,132.19451862685213,144.33705030712042
